osm_id,name,address,latitude,longitude,category,category_key,category_slug,city_slug,area_slug,business_slug,status,chain_flag,ranking_tier,is_featured,phone,email,website,google_maps_url,opening_hours,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,google_place_id,google_summary,google_rating,google_review_count,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,photo_url,image_url,logo_url,show_logo,add_listing_illustration,illustration_status,illustration_url,illustration_source_photo,illustration_generated_at,description,editor_notes,story_draft,founders_story,founders_image,tags,source,scrape_date,last_synced_at
node/5084276701,Estate Stores,"8 Lakemead Grove, Bristol BS13 8EA, UK",51.4156101,-2.6246489,Food & Produce,food_produce,food-and-produce,bristol,bishopsworth,estate-stores,closed,independent,standard,,0117 964 5027,,,https://maps.google.com/?cid=12533144986654942069,"Monday: 8:00 AM – 1:00 PM, 2:30 – 7:30 PM; Tuesday: 8:00 AM – 1:00 PM, 2:30 – 7:30 PM; Wednesday: 8:00 AM – 1:00 PM, 2:30 – 7:30 PM; Thursday: 8:00 AM – 1:00 PM, 2:30 – 7:30 PM; Friday: 8:00 AM – 1:00 PM, 2:30 – 8:00 PM; Saturday: 9:00 AM – 1:00 PM, 2:30 – 8:00 PM; Sunday: 9:00 AM – 12:30 PM",,,,,,,ChIJKc5Z7G6McUgRdSMJQPas7q0,,4.1,20,,4,5,43884,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/10556681607,Yew Tree Farm Bristol,"Bridgwater Road, Bristol, BS13 8AJ",51.4218834,-2.6342975,Food & Produce,food_produce,food-and-produce,bristol,bishopsworth,yew-tree-farm-bristol,pending,independent,standard,,07811 937542,,http://yewtreefarmbristol.com/,https://maps.google.com/?cid=9292316059643711913,Monday: Closed; Tuesday: Closed; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 10:00 PM,https://www.facebook.com/yewtreefarmandshop/,,,,,,ChIJUfKKZ2eMcUgRqZG4Mznw9IA,,4.8,24,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGpgG09QJcH1n5gcnZr_kd6x4zFohvOmA2UWWJxvEN_qKIQBwvs1sr7sHe04k5IfXyVJWBp3LDuJO0tJfPeXYpQVwLjKh3yqz9czpwDWX_Iwf1sJ3CIBiN1Akv7HRpx1XjpNH-08zL3K_DnDQqC5Z8KpMOiHc8TZn2QfTbW-KgUd06r320xxbSB7IjjGNL0TofK3wue03l_2sZGIqfG9q3GCNUGSTsabeKB5JAdV9zWA-W4yeAhFyRru7T_QNzi-zgAuvDpd_n1wYSMxz4JAf_xHvM6KT0jVS5sVFodVL6_scb7-zmvVz9EB77WPBA054vwVUW_XRbuINUiQ8OzU2BaecFunNSMnVr4tKFxAPpD0Jq5-_6B236W2bHQi3AkJWaRSilzL0QgOUwMO5xBjAwpSnMsiveLK0qkpHUfx0oHbw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""farm""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/1207448023,The Bridge Cafe,"5 Binford Pl, Bridgwater TA6 3NJ, UK",51.4534149,-2.6252033,Food & Produce,food_produce,food-and-produce,bristol,hotwells,the-bridge-cafe,pending,independent,standard,,01278 229169,rooms@theavongorge.com,http://www.theavongorge.com/the-bridge-cafe/welcome-1,https://maps.google.com/?cid=7885657778317432376,Monday: Closed; Tuesday: 8:30 AM – 3:00 PM; Wednesday: 8:30 AM – 3:00 PM; Thursday: 8:30 AM – 3:00 PM; Friday: 8:30 AM – 3:00 PM; Saturday: 8:30 AM – 3:00 PM; Sunday: Closed,,,,,,,ChIJva8Q24gIckgROBboKPh7b20,,4.8,300,,4,5,486429,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEfJLPywhIWtW5r7MKVhzLVNO1xzHluhbT9Hkl-PfzAseQ2c5zQUSzruH2hCKT24LHiHPFvbuXGnyHKvNSknjv0OXaO0YOizVZE0rFGbv0TaXB9I4ykajIpc3puSAnvsV4Hd_Pp6X0TOLrq8Q9jGsVRsWBboEBO3WaVfyO4B5Cg9oClGaJS6Uq2gzj1BAG_cYypjdP14Cvdn79ajDoMPVCeESCmLVGC_oeM0vHVZ4lQDI_Edc5yymY3IrjfcmUyeHAju9DStCKHhqKq29BdnhYKfzPGD4N1oiaGgrV52QkJ6g&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13119546304,Rajgate Tandori,"5 Shirehampton Road, Bristol, BS9 2DP",51.4863704,-2.6420547,Food & Produce,food_produce,food-and-produce,bristol,sea-mills,rajgate-tandori,pending,independent,standard,,0117 968 5859,,https://www.rajgatetandoori-bristol.co.uk,https://maps.google.com/?cid=9243014571981388770,"Su-Th 17:30-23:00; Fr,Sa 17:30-23:30",,,,,,,ChIJcdGZTH-ScUgR4ru1GMjIRYA,,4.2,86,,5,5,938427,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFkciwmrt1rB3vt6PBP8YBFRLtCApqFhspyGGSXU5dONIlRxkar6auZNMJGze0fUeEYfFLVl3m6vPjac7ZWZ_Dk0tPRqNnUb5cE4yvlLpZ3pXdjQBYME4gvMmLnOHDycI7dEfVUjlsxgrY9nAWB1t6L3oxZpN86NJMUDDLcSizXmXt_kAIt2-C05WrmWiZLnFnibf44vSTN5alX5B383vcT7Th1A5Z7OgHQCzvER8-PVc8nPW-Qoxzmi04xX2z8ZPUosQAJqltg4MYShP9Oun7h-LtT9v5lJhtfhgCiWivmJbInfEiiUIuKqzCykx4lBRhRoK1e-lU7tttGicJJ5wOvcn_OtP7GheeD2Med_sMB5en0inxpFqNxTgnHitVH3GgIm5Ym2jJDQJjGt7c7mrk4t7zz-0Lj_pgP-i5JVJ6H5FNG&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""restaurant"",""indian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108531079,Royalty,"1 High St, Winterbourne, Bristol BS36 1JN, UK",51.4072761,-2.5770598,Food & Produce,food_produce,food-and-produce,bristol,whitchurch,royalty,unverified,independent,standard,,01454 773301,,https://www.royalrajrestaurant.co.uk/,https://maps.google.com/?cid=15897214777393694404,Monday: 6:00 – 11:00 PM; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:30 PM; Saturday: 6:00 – 11:30 PM; Sunday: 6:00 – 10:30 PM,,,,,,,ChIJcUw1fnmQcUgRxEak7JxAntw,,4.3,417,,5,5,241295,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFNx89zpZEfpI8KTUlZETA0YDOCu1yQDgnh5sy2pBYTH9rIF7tYHsjsySp9Uce045Kd5Smdm9eAQHeDRY4KoJ5ElLMSvsq-9SFd5JBmz2ly6YeDPu3NlVU5jIwzmCYH89GK5PyDlUow1odOFZI_SRL-BsJLR74rCLkZ-RzJM6pipR5Et7JcP4vXnSIPGpUwFlHbDMEvGKKXnyQ31yDgoFquRu-7JRlmzjCLdIEqeGEzkQ8H52ezkV7QtlgNhxfXmyUc36F2cdsu1MAB09sr44DyuGEsG3ILJDtmd2HurctleQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108540446,Palermo pizzeria,"38 Belland Dr, Bristol BS14 0EW, UK",51.4073135,-2.57705,Food & Produce,food_produce,food-and-produce,bristol,whitchurch,palermo-pizzeria,unverified,independent,standard,,01275 217280,,http://www.palermopizzeria.co.uk/,https://maps.google.com/?cid=13271104697910847092,Monday: 4:00 – 10:00 PM; Tuesday: 4:00 – 10:00 PM; Wednesday: 4:00 – 10:00 PM; Thursday: 4:00 – 10:00 PM; Friday: 4:00 – 10:00 PM; Saturday: 4:00 – 10:00 PM; Sunday: 4:00 – 10:00 PM,,,,,,,ChIJjXi4PTuPcUgRdGb-z2hvLLg,,4.6,108,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGQdjwBixyHhCnZxFJhckfYB3Pg1SYLlHtFmzCH5fpmCVcZ6XS-zv4-Y30WT3OYVG1fndJjrwy-sF6vkSRhsW8hIcMLg8HuUrJoGIo8cFKvXyr3sUujFld2fIcAdu_FckZbEcvOUoTnpfjxp7TksjKI671edu8_W8aJ56Yc_aPYE5BYicR64pb37DlhLFGo1YRpuelYcuFOScnZQydKKKwK2VoyI2gZMQ9HIN0HkIboT3W0-eSGZpVo8luye4hDn7YrxyZuoqImw13_NAwjb_zEEp3KpIlu9qt-JKiJaT_0u5uJNuSloz5Yroyjh-WkW4xR8t8XvnUlqOx9e-YaMjT1yMFVJcWpC9tO28yu-tpUr-Y3sMIL-WcH7U2RhIC-ZltDYggz1BN5CM-xt9WYDLaTGWX61i1iOy0im__oHf8od-w&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""restaurant"",""pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11435897766,Five Acre Farm Shop,"Five Acre Farm, Backwell, West Town, Bristol BS48 3BQ, UK",51.442383,-2.6137724,Food & Produce,food_produce,food-and-produce,bristol,ashton-gate,five-acre-farm-shop,unverified,independent,standard,,,,https://fiveacre.farm/,https://maps.google.com/?cid=1597896990810567135,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 9:30 AM – 3:30 PM; Saturday: 9:30 AM – 3:30 PM; Sunday: 9:30 AM – 3:30 PM,,,,,,,ChIJuebk9nLzcUgR3_Ht3NjeLBY,,5,5,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFrydgsbxQ_r02cjQsQBcJFDyyq6pcbz_af_sGUNKyg39s2qhnS6K1UtcgVZ5Qr84Aw7FcK69roXQsNhjvW0OLdLmmHp7WcYyPYRJQ2tEwHs8jJ96jyEPHUvUo8-vBGHjoVgN5obHtIs1U5Y_AoIuv17nUijviSoih4dSt3W-EkFZlhMnnEArz_7TjCbJHYP9ewW4jdJYxtevZfUOfzwvBSyHHzmrvYOreo5x0etrCeXW-JRtgZtsXxFbe4dkIgVEhLaRwFqfKEqQUydWr6dKJvxPRKWIv2IFg7BeGy03-MA4iT3SdtewZlz3YwIMkzXEkTXhH4kUUWMWg6-4slK2u1wW9-ocnrvGSEjEyoJIIs-STavpOfGsjk3m5_6oIm7hOlZgv6hS1kNAqpD0wlxdDHJmB7Rr5NTUXZg88PF04dJLXP&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4749634967,Tobacco Factory Market,"The Tobacco Factory, Raleigh Rd, Southville, Bristol BS3 1TF, UK",51.4426584,-2.6134949,Food & Produce,food_produce,food-and-produce,bristol,ashton-gate,tobacco-factory-market,unverified,independent,standard,,0117 963 0936,,https://tobaccofactory.com/whats-on/sunday-market/,https://maps.google.com/?cid=14629521463381407187,Su 10:00-14:30,,,,,,,ChIJuQYfoDSMcUgR0zXNqkKABss,,4.4,435,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHWnueni32HjUElDd3rb1-7tpxpTh9qeIL-yFSjE3oEDvNtCLtxOQyRAZ84JwNtDuxqx5ktBFlRsQ4-ubhE3rSa0wpZrnRvPlulcTJ3eyz8W1K470wAqtWcSibcRwSHEqhhMUl72MNroFjdivRLx-vN2uQcpg5nOtH3lH9UdXqEGfGLzubvH8wYwtM4SzqPToKAj4i7B7a8KtYPapfzi57dR9Wc8n3jaB7cv6I3MUVmexVVjutN-PglnWj5yZRhFFlrT3EQ0BgOC0M2sXAXk7q73RQ9HA3wc3RDAx0W5yY1xIk682OStyMjrHjyUsO-Xr72LrMjxE7CORuxihnzuFLL6t18bYB-uYhST2IUHfF90PIMtAXgq6E0hhaUegfygEdMzafM1sutzkF43h5SH6RcP7isRiEbbxh6_SjTYLiRH-s_&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""marketplace""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12923053147,Heron Foods,"102-106 East Street, Bristol, BS3 4EY",51.4416017,-2.5982583,Food & Produce,food_produce,food-and-produce,bristol,bedminster,heron-foods,pending,independent,standard,,0345 603 7300,,https://heronfoods.com/store/bedminster/,https://maps.google.com/?cid=13399213458531352755,Mo-Sa 08:00-18:00; Su 10:00-16:00,,,,,,,ChIJ4ZGjmvWNcUgRswBlAaaR87k,"Discount supermarket chain specialising in branded frozen foods, plus drinks & groceries.",4.3,72,,5,0,1557134,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEK4fEOtzHfT6OAwZIPrUYYLYzFdc1BOLbW2Qe6KZJZnx8ds5Lz1pFRSIU5wXNVeo5l462LutNrqSKvwiki8iIFH1y6KmoH4cWh0cF8LQKhYHU_kYNqvUkV0EqoJ-ybYMQzy8ZZBmEAgqdJen-41JVzDDKq6XGqVQeATUAfTkP906PRH03k8opadosNY1R8Zesrna3YW50zpSqMDVffrw3aMM5Zm63pU6XFuAag8ztTw6RgvwXfna0FpSJYotvXMcjQFKo7XogKdYfasFGKUcReE3DR9sizR0GlrEi6hi1-IA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""supermarket""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13357250775,Southville Deli,"259-261 Church Rd, Redfield, Bristol BS5 9HT, UK",51.4424466,-2.5959408,Food & Produce,food_produce,food-and-produce,bristol,southville,southville-deli,unverified,independent,standard,,0117 302 1147,,https://www.southvilledeli.com/,https://maps.google.com/?cid=1188937989074556503,Monday: 8:30 AM – 6:30 PM; Tuesday: 8:30 AM – 6:30 PM; Wednesday: 8:30 AM – 6:30 PM; Thursday: 8:30 AM – 6:30 PM; Friday: 8:30 AM – 6:30 PM; Saturday: 8:30 AM – 6:00 PM; Sunday: 10:00 AM – 5:00 PM,,,,,,,ChIJpejMIUyOcUgRV5bBQs30fxA,,4.7,90,,5,0,386121,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEH4LgWRx3MqInWCP2dk4Da7vmSQNyKWkaEwcuqtcqatS6Wb_frNifI6w8gEaqqPXEAqlMXbWP5t2LzKh3YMZMqzQeh37L1UAok1rtieNLIi31CB59XLnPNhJN9uHDWLK9L1eJ4r9dqd2rcc5T0t212F2dvxHWlkMb5tdzgwSLuQksZ6HCIrfthfbWkkWr3CbYLIvGgc_5fdWQfmK47CvcF_6tDw_qC6trUs9qJRjqjHjDnr6DOx3hAkCuIn5ERC3RDMCY5e0qGVU3XlkzkcrzLr58hp_G5jiM0mGImp7PswnQ462L7Crk7p-ic2kgJW1BLpZ6HIRX3b15_cYIYqCrHrjAj246vga3hgxOwUJ85A2oT_igPzglc12Fql8sKybVgQ2i-SHdQCY2_Scpkhghzqc1mF6mRLJ-Etgj2JTwS4AJhy&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
