osm_id,name,address,latitude,longitude,category,category_key,category_slug,city_slug,area_slug,business_slug,status,chain_flag,ranking_tier,is_featured,phone,email,website,google_maps_url,opening_hours,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,google_place_id,google_summary,google_rating,google_review_count,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,photo_url,image_url,logo_url,show_logo,add_listing_illustration,illustration_status,illustration_url,illustration_source_photo,illustration_generated_at,description,editor_notes,story_draft,founders_story,founders_image,tags,source,scrape_date,last_synced_at
node/827983667,Morrisons Daily,"143-147 Four Acres, BS13 8RA, GB",51.4062987,-2.6266084,Food & Produce,food_produce,food-and-produce,bristol,withywood,morrisons-daily,pending,chain,low,,,,https://my.morrisons.com/storefinder/61201/morrisons-daily-bristol-withywood-fouracres,,,,,,,,,,,,,,5,5,1518457,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5084276701,Estate Stores,,51.4156101,-2.6246489,Food & Produce,food_produce,food-and-produce,,bishopsworth,estate-stores,closed,independent,standard,,,,,,,,,,,,,,,,,,4,5,43884,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/10556681607,Yew Tree Farm Bristol,"Bridgwater Road, Bristol, BS13 8AJ",51.4218834,-2.6342975,Food & Produce,food_produce,food-and-produce,bristol,bishopsworth,yew-tree-farm-bristol,pending,independent,standard,,,,,,,https://www.facebook.com/yewtreefarmandshop/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""farm""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/1207448023,The Bridge Cafe,,51.4534149,-2.6252033,Food & Produce,food_produce,food-and-produce,,hotwells,the-bridge-cafe,pending,independent,standard,,,rooms@theavongorge.com,http://www.theavongorge.com/the-bridge-cafe/welcome-1,,,,,,,,,,,,,,4,5,486429,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13119524598,Tesco Express,"1-2 Shirehampton Road, Bristol, BS9 2DP",51.4862885,-2.641832,Food & Produce,food_produce,food-and-produce,bristol,sea-mills,tesco-express,pending,chain,low,,,,https://www.tesco.com/store-locator/bristol/trymwood-parade,,Mo-Su 07:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""supermarket""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13119546304,Rajgate Tandori,"5 Shirehampton Road, Bristol, BS9 2DP",51.4863704,-2.6420547,Food & Produce,food_produce,food-and-produce,bristol,sea-mills,rajgate-tandori,pending,independent,standard,,,,https://www.rajgatetandoori-bristol.co.uk,,"Su-Th 17:30-23:00; Fr,Sa 17:30-23:30",,,,,,,,,,,,5,5,938427,,,,,,,,,,,,,,,"{""restaurant"",""indian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11466017653,Kwik Save,"Queen's Road, Bristol",51.4088478,-2.6213983,Food & Produce,food_produce,food-and-produce,bristol,withywood,kwik-save,pending,independent,standard,,,,,,,,,,,,,,,,,,2,5,1104865,,,,,,,,,,,,,,,"{""supermarket""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11478973267,Londis,"92 Queen's Road, Bristol",51.4090941,-2.6211467,Food & Produce,food_produce,food-and-produce,bristol,withywood,londis,pending,independent,standard,,,,,,Mo-Su 05:30-23:00,,,,,,,,,,,,5,0,483296,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11147892761,Morrisons Daily,"532-536 Bishport Avenue, BS13 9LJ",51.4056311,-2.6093784,Food & Produce,food_produce,food-and-produce,bristol,hartcliffe,morrisons-daily,pending,chain,low,,+44 117 964 1620,,https://my.morrisons.com/storefinder/61159/morrisons-daily-bristol-hartcliffe-bishport,,Mo-Sa 06:00-22:00; Su 07:00-22:00,,,,,,,,,,,,AwaitingInspection,,1518456,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11524269682,Morrisons Daily,"141 Church Road, Bristol, BS13 8JZ",51.4130502,-2.6201936,Food & Produce,food_produce,food-and-produce,bristol,bishopsworth,morrisons-daily,pending,chain,low,,,,,,,,,,,,,,,,,,5,0,1518461,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
