osm_id,name,category,category_key,category_slug,address,city_slug,area_slug,business_slug,latitude,longitude,phone,website,email,opening_hours,google_maps_url,photo_url,image_url,google_summary,google_rating,google_review_count,google_place_id,tags,chain_flag,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,status,ranking_tier,source,scrape_date,last_synced_at
node/827983667,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"143-147 Four Acres, BS13 8RA, GB",,,morrisons-daily,51.4062987,-2.6266084,,https://my.morrisons.com/storefinder/61201/morrisons-daily-bristol-withywood-fouracres,,,,,,UK convenience store fascia brand owned by Wm Morrison Supermarkets plc,,,,"{""convenience""}",chain,,,,,,,Q99752411,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5084276701,Estate Stores,Food & Produce,food_produce,food-and-produce,,,,estate-stores,51.4156101,-2.6246489,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/10556681607,Yew Tree Farm Bristol,Food & Produce,food_produce,food-and-produce,"Bridgwater Road, Bristol, BS13 8AJ",bristol,,yew-tree-farm-bristol,51.4218834,-2.6342975,,,,,,,,,,,,"{""farm""}",independent,https://www.facebook.com/yewtreefarmandshop/,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/1207448023,The Bridge Cafe,Food & Produce,food_produce,food-and-produce,,,,the-bridge-cafe,51.4534149,-2.6252033,,http://www.theavongorge.com/the-bridge-cafe/welcome-1,rooms@theavongorge.com,,,,,,,,,"{""restaurant""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13119524598,Tesco Express,Food & Produce,food_produce,food-and-produce,"1-2 Shirehampton Road, Bristol, BS9 2DP",bristol,sea-mills,tesco-express,51.4862885,-2.641832,,https://www.tesco.com/store-locator/bristol/trymwood-parade,,Mo-Su 07:00-23:00,,,,Brand for smaller convenience-style Tesco food stores in the UK and in some other countries where Tesco operates,,,,"{""supermarket""}",chain,,,,,,,Q98456772,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13119546304,Rajgate Tandori,Food & Produce,food_produce,food-and-produce,"5 Shirehampton Road, Bristol, BS9 2DP",bristol,sea-mills,rajgate-tandori,51.4863704,-2.6420547,,https://www.rajgatetandoori-bristol.co.uk,,"Su-Th 17:30-23:00; Fr,Sa 17:30-23:30",,,,,,,,"{""restaurant"",""indian""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11466017653,Kwik Save,Food & Produce,food_produce,food-and-produce,"Queen's Road, Bristol",bristol,,kwik-save,51.4088478,-2.6213983,,,,,,,,British discount supermarket chain that was founded in Wales,,,,"{""supermarket""}",independent,,,,,,,Q769845,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11478973267,Londis,Food & Produce,food_produce,food-and-produce,"92 Queen's Road, Bristol",bristol,,londis,51.4090941,-2.6211467,,,,Mo-Su 05:30-23:00,,,,Convenience store franchise operating in the United Kingdom,,,,"{""convenience""}",true,,,,,,,Q21008564,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11147892761,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"532-536 Bishport Avenue, BS13 9LJ",,,morrisons-daily,51.4056311,-2.6093784,+44 117 964 1620,https://my.morrisons.com/storefinder/61159/morrisons-daily-bristol-hartcliffe-bishport,,Mo-Sa 06:00-22:00; Su 07:00-22:00,,,,UK convenience store fascia brand owned by Wm Morrison Supermarkets plc,,,,"{""convenience""}",chain,,,,,,,Q99752411,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11524269682,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"141 Church Road, Bristol, BS13 8JZ",bristol,,morrisons-daily,51.4130502,-2.6201936,,,,,,,,UK convenience store fascia brand owned by Wm Morrison Supermarkets plc,,,,"{""convenience""}",chain,,,,,,,Q99752411,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11501273339,Belland's Drive Co-op,Food & Produce,food_produce,food-and-produce,,,,bellands-drive-co-op,51.4071167,-2.5770311,,https://www.coop.co.uk/store-finder/BS14-0EW/30-32-belland-drive,,Mo-Su 06:00-22:00,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108531079,Royalty,Food & Produce,food_produce,food-and-produce,,,,royalty,51.4072761,-2.5770598,,,,,,,,Variety of grape,,,,"{""restaurant""}",independent,,,,,,,Q2171172,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108540446,Palermo pizzeria,Food & Produce,food_produce,food-and-produce,,,,palermo-pizzeria,51.4073135,-2.57705,,,,,,,,,,,,"{""restaurant"",""pizza""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11435897766,Five Acre Farm Shop,Food & Produce,food_produce,food-and-produce,,,,five-acre-farm-shop,51.442383,-2.6137724,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4749634967,Tobacco Factory Market,Food & Produce,food_produce,food-and-produce,,,,tobacco-factory-market,51.4426584,-2.6134949,,,,Su 10:00-14:30,,,,,,,,"{""marketplace""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12923053147,Heron Foods,Food & Produce,food_produce,food-and-produce,"102-106 East Street, Bristol, BS3 4EY",bristol,bedminster,heron-foods,51.4416017,-2.5982583,,https://heronfoods.com/store/bedminster/,,Mo-Sa 08:00-18:00; Su 10:00-16:00,,,,English retail chain founded in 1979 and based in Melton,,,,"{""supermarket""}",true,,,,,,,Q5743472,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13357250775,Southville Deli,Food & Produce,food_produce,food-and-produce,,,,southville-deli,51.4424466,-2.5959408,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13140992986,Spitfire,Food & Produce,food_produce,food-and-produce,"1 Hannover Quay, Bristol, BS1 5JE",bristol,harbourside,spitfire,51.448089,-2.6018545,,,,,,,,Russian ska band,,,,"{""restaurant"",""american""}",independent,,,,,,,Q1311070,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13041619238,Ragu,Food & Produce,food_produce,food-and-produce,,,,ragu,51.4472857,-2.5981412,+44 117 9110218,https://www.ragurestaurant.com,,,,,,Male given name,,,,"{""restaurant"",""italian"",""mediterranean""}",independent,,,,,,,Q96653780,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12512022293,Newquay road convenience store,Food & Produce,food_produce,food-and-produce,,,,newquay-road-convenience-store,51.4267588,-2.5791471,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13357254812,Baker Bespoke,Food & Produce,food_produce,food-and-produce,,,,baker-bespoke,51.4411652,-2.5930991,,,,,,,,,,,,"{""kitchen""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13145150507,The Park Deli,Food & Produce,food_produce,food-and-produce,,,,the-park-deli,51.4375272,-2.5846446,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/2384478514,Redcliffe Premier,Food & Produce,food_produce,food-and-produce,"Redcliff Hill, Bristol, BS1 6TB",bristol,,redcliffe-premier,51.4468762,-2.5911857,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12877052417,The Kiln,Food & Produce,food_produce,food-and-produce,,,,the-kiln,51.4480092,-2.587359,,,,,,,,"Former pub in Leeds, West Yorkshire, England, UK",,,,"{""restaurant""}",independent,,,,,,,Q136675920,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11159406779,Londis,Food & Produce,food_produce,food-and-produce,"194-196 Wells Road, Bristol, BS4 2AX",bristol,knowle,londis,51.4389254,-2.5723368,,,,,,,,Convenience store franchise operating in the United Kingdom,,,,"{""convenience""}",true,,,,,,,Q21008564,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/6780649303,Chi foof,Food & Produce,food_produce,food-and-produce,,,,chi-foof,51.4482776,-2.5733843,,,,Mo-Fr 06:00-12:00,,,,,,,,"{""spices""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/7817679484,Blue Ginger,Food & Produce,food_produce,food-and-produce,"36-38 Gilda Parade, Bristol, BS14 9HY",bristol,whitchurch,blue-ginger,51.4130925,-2.5599556,,,,,,,,Hotel in India,,,,"{""restaurant"",""bengal""}",independent,,,,,,,Q111860875,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 07:40:05
