name,category,category_key,category_slug,address,city_slug,area_slug,business_slug,latitude,longitude,phone,website,email,google_maps_url,photo_url,image_url,google_summary,opening_hours,google_rating,google_review_count,google_place_id,tags,chain_flag,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,status,ranking_tier,source,scrape_date,last_synced_at
B R B Supermarket Easton Ltd,Food & Produce,food_produce,food-and-produce,"234 Stapleton Rd, Easton, Bristol BS5 0NT, UK",bristol,easton,b-r-b-supermarket-easton-ltd,51.4653368,-2.5697705,0117 952 1965,http://www.nisalocally.com/,,https://maps.google.com/?cid=16784308248978772242,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGbh3bHH4KFpigY3NVNkoWqGj-cSmKL5WQ-8hJKQ8prcSrN8Eweoqj8watl9N9ezo_PJGbvIT9vPqlQAEIveD9k9IX962fN0MumZUFY3ajBAX1FKyiNMkroC2YNN95uNe_LVygMlCqkDG_r1RmHlva5YlBxiZA_NUCksse-7Yw4mfbmMmIiLBkOh8PxdEnfTYHt306cgsSB3cUPpL64TNI7vILCyqBGgV8TTWgztLszslyM-bBapXgSwlQJX1q5lB-0pVC5YPcRH6mZx-HXtQoLvt6HJVXDBSl3odwktw15xJgbL-ooiTR6E5V4cTaxc2AbFcNfg2vfgCqMilVXnWX_1bupalJphnJG9576BpPL9JPCpY_CVWs8fo2YG3OViVF3Rbq69cWZLu2Bsg8Vtewn7dLdufOvLlU2xo6REyBNHWjImBePemmM2v2eifVK&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGbh3bHH4KFpigY3NVNkoWqGj-cSmKL5WQ-8hJKQ8prcSrN8Eweoqj8watl9N9ezo_PJGbvIT9vPqlQAEIveD9k9IX962fN0MumZUFY3ajBAX1FKyiNMkroC2YNN95uNe_LVygMlCqkDG_r1RmHlva5YlBxiZA_NUCksse-7Yw4mfbmMmIiLBkOh8PxdEnfTYHt306cgsSB3cUPpL64TNI7vILCyqBGgV8TTWgztLszslyM-bBapXgSwlQJX1q5lB-0pVC5YPcRH6mZx-HXtQoLvt6HJVXDBSl3odwktw15xJgbL-ooiTR6E5V4cTaxc2AbFcNfg2vfgCqMilVXnWX_1bupalJphnJG9576BpPL9JPCpY_CVWs8fo2YG3OViVF3Rbq69cWZLu2Bsg8Vtewn7dLdufOvLlU2xo6REyBNHWjImBePemmM2v2eifVK&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 4:00 PM,4.1,44,ChIJJQy3ekCOcUgREtEJ5WzX7eg,"{""establishment"",""food"",""grocery_or_supermarket"",""meal_delivery"",""point_of_interest"",""store"",""supermarket""}",independent,https://www.facebook.com/nisalocally,https://www.instagram.com/nisalocally,https://twitter.com/NisaLocally,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:22:54
Zam Zam Bakery,Food & Produce,food_produce,food-and-produce,"10 Roman Rd, Easton, Bristol BS5 6DH, UK",bristol,easton,zam-zam-bakery,51.4661381,-2.5643672,0117 316 4064,,,https://maps.google.com/?cid=5495514425662349310,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFb3wAJQtyZpkqN2HlhCvGfqSxgwFoCcPPAN50pkDRGWlCMeeqKcwc6GB9OkTE8VJhmyNm1uAXNubHry5A9cjYWLabtnXmeUWSQJ5_iQiK2w7nlmI_AMGh4XeaGQN9DTb9XoaplwdqshNihslPC5YaeGQCLxP6MjxUUYSSi4VhaiDWyqzM1UjQ6A9-PAvvr8kVMLZCEL6DYTsQEmIFBV3XYsFO43mKpYeG1Zps5CK3LsZEU42hmzqcUtQ36eWYZm3P0wVsv79iaE-04PeW3T_QTszemp_kpfjWIOMxiAj13dA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFb3wAJQtyZpkqN2HlhCvGfqSxgwFoCcPPAN50pkDRGWlCMeeqKcwc6GB9OkTE8VJhmyNm1uAXNubHry5A9cjYWLabtnXmeUWSQJ5_iQiK2w7nlmI_AMGh4XeaGQN9DTb9XoaplwdqshNihslPC5YaeGQCLxP6MjxUUYSSi4VhaiDWyqzM1UjQ6A9-PAvvr8kVMLZCEL6DYTsQEmIFBV3XYsFO43mKpYeG1Zps5CK3LsZEU42hmzqcUtQ36eWYZm3P0wVsv79iaE-04PeW3T_QTszemp_kpfjWIOMxiAj13dA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 1:03 AM | Tuesday: 10:00 AM – 1:03 AM | Wednesday: 10:00 AM – 1:03 AM | Thursday: 10:00 AM – 1:03 AM | Friday: 10:00 AM – 1:03 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 3:00 AM,4.7,212,ChIJxyMtYEeOcUgR_p-j70D9Q0w,"{""bakery"",""establishment"",""food"",""point_of_interest"",""store""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:22:54
Pak Butchers,Food & Produce,food_produce,food-and-produce,"4 Roman Rd, Easton, Bristol BS5 6DH, UK",bristol,easton,pak-butchers,51.4662314,-2.5644204,0117 951 8057,http://www.pakbutchers.co.uk/,,https://maps.google.com/?cid=7988847315210754282,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFRcGSsriB-4eQnp8N0G0VF4qOWrFVEwPFIpWHw8TcMvtkDdABgJZEnZcyTI0yNQWeRiGwVfHYQjuQYpiXWmhC9H-FbYFGqoGOMz4mCAstT-3dd_1M0UNI7iycB0LVGFsGcJuC8deXefoechkMZIwlsTPJntNnxJHXAZhDEBqgLyH6tSZBQKko35hlw45ICYIzbTB8s4uJHxacrAdSjSKb_VvLeJ_CAvdR0amMwHaU9_6v1y_2luUrgntD4W2SsHk9F9vYo8RfCQ-xhyvXmXb1JcFf-QN-gjYAa2EVRit7_jQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFRcGSsriB-4eQnp8N0G0VF4qOWrFVEwPFIpWHw8TcMvtkDdABgJZEnZcyTI0yNQWeRiGwVfHYQjuQYpiXWmhC9H-FbYFGqoGOMz4mCAstT-3dd_1M0UNI7iycB0LVGFsGcJuC8deXefoechkMZIwlsTPJntNnxJHXAZhDEBqgLyH6tSZBQKko35hlw45ICYIzbTB8s4uJHxacrAdSjSKb_VvLeJ_CAvdR0amMwHaU9_6v1y_2luUrgntD4W2SsHk9F9vYo8RfCQ-xhyvXmXb1JcFf-QN-gjYAa2EVRit7_jQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 7:00 PM | Tuesday: 9:00 AM – 7:00 PM | Wednesday: 9:00 AM – 7:00 PM | Thursday: 9:00 AM – 7:00 PM | Friday: 9:00 AM – 7:00 PM | Saturday: 9:00 AM – 7:00 PM | Sunday: 9:00 AM – 7:00 PM,4.5,54,ChIJu7nfnziOcUgR6lj4c04W3m4,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:00
Al Noor Supermarket,Plants & Garden,plants_garden,plants-and-garden,"205 Stapleton Rd, Easton, Bristol BS5 0PA, UK",bristol,easton,al-noor-supermarket,51.4636169,-2.5702899,0117 951 1827,,,https://maps.google.com/?cid=3375670582892819412,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF85D9VPtmKqE7QGiSU2WAjWsyGt_YP5-m54E6p28k91hWsjOt6BqVBha8LRjRYtDKn9zyDjtz-ZvIM_eLQyQuCeMtW49vtJ3vA6Dmatqz5q08qlPo9m5VP4clLQbjwORnuxq5A5fLprrWjsTFFP9EkWM-_25dfqyCQjzXneJzz3UmPR1HDPaFcMnx8V7T1Vmh59mYTRQGjAp0b2txpIV-L0fpOv77iDqlBz8NORqO3HV5L6Pm_GkJftWTMT8gw_qFIcmt8AJkclUzwl60clI2fTJv6O9tv8S7cyDAwkbV9Rw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF85D9VPtmKqE7QGiSU2WAjWsyGt_YP5-m54E6p28k91hWsjOt6BqVBha8LRjRYtDKn9zyDjtz-ZvIM_eLQyQuCeMtW49vtJ3vA6Dmatqz5q08qlPo9m5VP4clLQbjwORnuxq5A5fLprrWjsTFFP9EkWM-_25dfqyCQjzXneJzz3UmPR1HDPaFcMnx8V7T1Vmh59mYTRQGjAp0b2txpIV-L0fpOv77iDqlBz8NORqO3HV5L6Pm_GkJftWTMT8gw_qFIcmt8AJkclUzwl60clI2fTJv6O9tv8S7cyDAwkbV9Rw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,3.9,241,ChIJ_45iKmqOcUgR1PMPlILK2C4,"{""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store"",""supermarket""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:04
National Food Store,Food & Produce,food_produce,food-and-produce,"142 Stapleton Rd, St Jude's, Bristol BS5 0PU, UK",bristol,saint-judes,national-food-store,51.4622399,-2.5721775,0117 952 2639,,,https://maps.google.com/?cid=12512633633206777170,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE0QoBy_S0qf36k1-TyFIMcmLSyCtoiA_SW01MBRYAE7b0xlUBSeXGL07_mD82W-9w1NoQFmNP1kpXLwQFtMhV71k5SeByavWqbZttNTc1ig6bLqZIE1cYMZaGx0rbyVZP8PFFz-zGvpkUVym9CSq9xYMwAPD7H41VQO9RQFGVusUOQXSJ-8Ytd4T7SUi1ycfMEL7pQcR25rnZBVp5ueE2Kj5bqfqxuXhXhvdXgRzndJVPoCY669IZrhdETa8pBlN0VGZBraG3XJtveHrnHQdOvA9ISwiS8LtHyE_VMDxJofGTJ6ujJgEV9DsqXcO6fiKcNsYUyexTp8D867thdrzJ7XYJsV-G1Q15P6C49iazocB2g9fVZEExq5n9PC9fvPH3vB19WCiwEAVj38iqqRmGK-2H3cycbGPDFGuxSH9iphnmK&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE0QoBy_S0qf36k1-TyFIMcmLSyCtoiA_SW01MBRYAE7b0xlUBSeXGL07_mD82W-9w1NoQFmNP1kpXLwQFtMhV71k5SeByavWqbZttNTc1ig6bLqZIE1cYMZaGx0rbyVZP8PFFz-zGvpkUVym9CSq9xYMwAPD7H41VQO9RQFGVusUOQXSJ-8Ytd4T7SUi1ycfMEL7pQcR25rnZBVp5ueE2Kj5bqfqxuXhXhvdXgRzndJVPoCY669IZrhdETa8pBlN0VGZBraG3XJtveHrnHQdOvA9ISwiS8LtHyE_VMDxJofGTJ6ujJgEV9DsqXcO6fiKcNsYUyexTp8D867thdrzJ7XYJsV-G1Q15P6C49iazocB2g9fVZEExq5n9PC9fvPH3vB19WCiwEAVj38iqqRmGK-2H3cycbGPDFGuxSH9iphnmK&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:30 AM – 11:00 PM | Tuesday: 9:30 AM – 11:00 PM | Wednesday: 9:30 AM – 11:00 PM | Thursday: 9:30 AM – 11:00 PM | Friday: 9:30 AM – 12:00 AM | Saturday: 9:30 AM – 12:00 AM | Sunday: 10:00 AM – 11:00 PM,4.4,40,ChIJYcUDdGqOcUgRUjXln_7Npa0,"{""convenience_store"",""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:04
Mushtaq Sweets Bristol,Food & Produce,food_produce,food-and-produce,"114 Stapleton Rd, St Jude's, Bristol BS5 0PR, UK",bristol,saint-judes,mushtaq-sweets-bristol,51.4616057,-2.573164,0117 985 1503,,,https://maps.google.com/?cid=10386421934537270372,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEG5uh5-hz-e2gtdXPGi_RfPmpR4SmvU6mZ2JIjPhVwA88gGeHA9Z12LbGED557FCdnPHEOnfPRio0qTIIkJ78ORZO0iCeRewjnwZqU6n40i0cZxW2vR-6s29sji3cFsxPFXeTkGTR1oznQs2tYn0MK93TuiMgNB-mLEQUh5U79uwoiJDHXzevYJFlafpRHtnlhwpoGxkv6mO4wvow1xvPgRjFYylbTpw7CzrOci162Q29B4xAz_KJwyo6HMRJDR1mueeIG6rZ6W34TdIV5ARv_HbHSSAWF1oR829joFBHqURg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEG5uh5-hz-e2gtdXPGi_RfPmpR4SmvU6mZ2JIjPhVwA88gGeHA9Z12LbGED557FCdnPHEOnfPRio0qTIIkJ78ORZO0iCeRewjnwZqU6n40i0cZxW2vR-6s29sji3cFsxPFXeTkGTR1oznQs2tYn0MK93TuiMgNB-mLEQUh5U79uwoiJDHXzevYJFlafpRHtnlhwpoGxkv6mO4wvow1xvPgRjFYylbTpw7CzrOci162Q29B4xAz_KJwyo6HMRJDR1mueeIG6rZ6W34TdIV5ARv_HbHSSAWF1oR829joFBHqURg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 11:00 PM | Saturday: 10:00 AM – 11:00 PM | Sunday: 10:00 AM – 11:00 PM,4.7,30,ChIJb0yQDjqPcUgRZGRrR7j7I5A,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:05
Star Cash & Carry,Food & Produce,food_produce,food-and-produce,"6 Roman Rd, Easton, Bristol BS5 6DH, UK",bristol,easton,star-cash-carry,51.466218,-2.5644146,0117 935 4270,,,https://maps.google.com/?cid=8063421348055098194,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFTPpwFVWGOUs-xlt3mSYUzyso6EuRhC_4wWwLqHrEcC9L5nR4BEpVwPPCEEWmP6ViLwc6Evc_tbhfMH6tBdKaXUBLfupFoBayc92PQ_h4N3BGN4mioNvsRefeoJ7CM8ASnWNV7UA9-uk2Y6JDX2Y-xAT5O8BovsdOgxch0BA96QMOu8H30mPfc0N2yUOLCE8-JvEfF1SuQZDuhGPGGgH99pyzjv1fFYEH3Yh5EgLoXpCTgMoHtFf9Tv3SUL3mHhnjmYRLlVBEdFaiFCH0dxvxljZgUqyX3nUdMICt8OBrjiA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFTPpwFVWGOUs-xlt3mSYUzyso6EuRhC_4wWwLqHrEcC9L5nR4BEpVwPPCEEWmP6ViLwc6Evc_tbhfMH6tBdKaXUBLfupFoBayc92PQ_h4N3BGN4mioNvsRefeoJ7CM8ASnWNV7UA9-uk2Y6JDX2Y-xAT5O8BovsdOgxch0BA96QMOu8H30mPfc0N2yUOLCE8-JvEfF1SuQZDuhGPGGgH99pyzjv1fFYEH3Yh5EgLoXpCTgMoHtFf9Tv3SUL3mHhnjmYRLlVBEdFaiFCH0dxvxljZgUqyX3nUdMICt8OBrjiA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:15 AM – 7:00 PM | Tuesday: 8:15 AM – 7:00 PM | Wednesday: 8:15 AM – 7:00 PM | Thursday: 8:15 AM – 7:00 PM | Friday: 8:15 AM – 7:00 PM | Saturday: 8:15 AM – 7:00 PM | Sunday: 8:45 AM – 6:30 PM,4.6,64,ChIJacIQnziOcUgRUiMghf4G528,"{""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store"",""supermarket""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:10
Khan Foodstore,Food & Produce,food_produce,food-and-produce,"287 Stapleton Rd, Easton, Bristol BS5 0NG, UK",bristol,easton,khan-foodstore,51.46624689999999,-2.5687127,0117 951 1371,,,https://maps.google.com/?cid=10886342905801112437,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHOzXAdmMoeQKnR5LcYT8mgC4N1LEFghvhT5bnR-Xmxp6bAdo9nDtBodBnUdKUqnqnaXTexJ8s4YEKV7OpLiVvIn0sr1HxOSS4wO_oXgDsFpAABZF2OTu-GCzXlZOKw_CJTOwjdOkI5kLi2QGgyooGAE0JEudi7vKZ63K-Yyz4SJ5KmcxjOP3mmtnJB-7cWoLAiHln0Oq71_3W0SKG8fc_bip5rkFzRUnXipWpOKadN8zqLkOKqw8HRJyj3mPvCcauG93yCFdO9EoZOixqduycsWksihsiGIvrOz34_zPMr9lB7ucW79C9H7qMP-HIyPFzjmkQ2BwH0xoCeZfChAUGt_oDXp-Cqg-jOlBczqC6WTdbFZwXTZ1VfVMRkcTrFgtpO5szi6dNz8v6NL7Ij5VsdQ_tEd5gKZOPgip65GFSdH-De&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHOzXAdmMoeQKnR5LcYT8mgC4N1LEFghvhT5bnR-Xmxp6bAdo9nDtBodBnUdKUqnqnaXTexJ8s4YEKV7OpLiVvIn0sr1HxOSS4wO_oXgDsFpAABZF2OTu-GCzXlZOKw_CJTOwjdOkI5kLi2QGgyooGAE0JEudi7vKZ63K-Yyz4SJ5KmcxjOP3mmtnJB-7cWoLAiHln0Oq71_3W0SKG8fc_bip5rkFzRUnXipWpOKadN8zqLkOKqw8HRJyj3mPvCcauG93yCFdO9EoZOixqduycsWksihsiGIvrOz34_zPMr9lB7ucW79C9H7qMP-HIyPFzjmkQ2BwH0xoCeZfChAUGt_oDXp-Cqg-jOlBczqC6WTdbFZwXTZ1VfVMRkcTrFgtpO5szi6dNz8v6NL7Ij5VsdQ_tEd5gKZOPgip65GFSdH-De&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,13,ChIJV-L4ez-OcUgRdXteyzEPFJc,"{""convenience_store"",""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store"",""supermarket""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:11
Biedronka,Food & Produce,food_produce,food-and-produce,"276 Stapleton Rd, Easton, Bristol BS5 0NW, UK",bristol,easton,biedronka,51.4666327,-2.5687568,,,,https://maps.google.com/?cid=72498647314623712,,,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,4.7,32,ChIJA2xMdz-OcUgR4GzityKRAQE,"{""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store"",""supermarket""}",independent,,,,,,,pending,standard,Google Places,2026-04-11,2026-04-11 16:23:11
Iceland Supermarket Easton,Food & Produce,food_produce,food-and-produce,"190 Lawnwood Rd, Easton, Bristol BS5 0EU, UK",bristol,easton,iceland-supermarket-easton,51.46163689999999,-2.5655344,0117 370 5280,https://www.iceland.co.uk/store-finder/store?StoreID=76&StoreName=EASTON&utm_source=Google&utm_medium=GMB&utm_campaign=Store,,https://maps.google.com/?cid=7363075888674907206,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHRvkutduMlBTkoLL5oBvmlFX5lXUVam9efcR87VqwJgZ5bcUw3CZ4buQ138-TmRu9sosU710avg_VydLk4PZzxL7VQg1Xl77wCGjzIaxSP7m4zAR5QZWx3B4W4geQoX2wTeJA9oN6sShzt5oWlq3H0MdKO1tQKAWRlYcAE5QtneFitd6hZdYeQg-y_flfWWwJppAnU50MVc7y9iRfNNanBVm-giyyuY381LyBWLmvMn6kzdLH6pqLVm-IpKu__e73ZaUru0hW1ffHHxbW8SMx89xhCg7wTwAA3vLSPSXGM_JlDESWklAos5JFRnN02Xu5g4kSGdPjo_th7hpYBMjmbRRC512H16BoWA9FOXfIS9ZS3CilWQAZbf2KM3ichpZLrIygFKmAZtuVB2VrmxQgq40KSOXyFLF0SBUIT_Ff6cA1t&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHRvkutduMlBTkoLL5oBvmlFX5lXUVam9efcR87VqwJgZ5bcUw3CZ4buQ138-TmRu9sosU710avg_VydLk4PZzxL7VQg1Xl77wCGjzIaxSP7m4zAR5QZWx3B4W4geQoX2wTeJA9oN6sShzt5oWlq3H0MdKO1tQKAWRlYcAE5QtneFitd6hZdYeQg-y_flfWWwJppAnU50MVc7y9iRfNNanBVm-giyyuY381LyBWLmvMn6kzdLH6pqLVm-IpKu__e73ZaUru0hW1ffHHxbW8SMx89xhCg7wTwAA3vLSPSXGM_JlDESWklAos5JFRnN02Xu5g4kSGdPjo_th7hpYBMjmbRRC512H16BoWA9FOXfIS9ZS3CilWQAZbf2KM3ichpZLrIygFKmAZtuVB2VrmxQgq40KSOXyFLF0SBUIT_Ff6cA1t&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Supermarket chain supplying frozen packaged foods, often discounted, plus some dry groceries.",Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 10:00 AM – 4:00 PM,4,455,ChIJxQRfTEGOcUgRRiS2boLmLmY,"{""bakery"",""establishment"",""food"",""grocery_or_supermarket"",""point_of_interest"",""store"",""supermarket""}",chain,https://www.facebook.com/icelandfoods,https://www.instagram.com/icelandfoods,https://twitter.com/IcelandFoods,,,https://www.youtube.com/user/IcelandFoods,pending,low,Google Places,2026-04-11,2026-04-11 16:23:13
