service,name,city,area,url
deliveroo,almondsbury-creative,bristol,almondsbury-and-cattybrook,https://deliveroo.co.uk/menu/bristol/almondsbury-and-cattybrook/almondsbury-creative
deliveroo,cafe-dream,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/cafe-dream
deliveroo,county-news-and-off-license,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/county-news-and-off-license
deliveroo,cafe-dream-gloucester-road,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/cafe-dream-gloucester-road
deliveroo,the-great-british-takeaway,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/the-great-british-takeaway
deliveroo,kervansaray-restaurant,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/kervansaray-restaurant
deliveroo,kellaway-premier-store,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/kellaway-premier-store
deliveroo,bana-dessert,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/bana-dessert
deliveroo,indian-rasoi-bristol,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/indian-rasoi-bristol
deliveroo,tomato-and-basil,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/tomato-and-basil
deliveroo,mula-lounge-ltd,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/mula-lounge-ltd
deliveroo,knollys-desserts,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/knollys-desserts
deliveroo,the-great-british-takeaway-4-kellaway-avenue,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/the-great-british-takeaway-4-kellaway-avenue
deliveroo,southern-co-op-bristol-ashley-down,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/southern-co-op-bristol-ashley-down
deliveroo,burger-bear-at-the-old-nuns-head,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/burger-bear-at-the-old-nuns-head
deliveroo,buddha-bowls-at-mula,bristol,ashley-down-and-bishopston,https://deliveroo.co.uk/menu/bristol/ashley-down-and-bishopston/buddha-bowls-at-mula
