service,listing_index,listing_id,listing_name,listing_address,listing_city_slug,listing_area_slug,listing_business_slug,delivery_name,delivery_address,delivery_city,delivery_area,url,score,name_score,slug_score,address_score,postcode_match,exact_slug_match,second_best_score,gap_to_second,auto_updated,reason,area_match
deliveroo,9,009046d3-d2e8-436e-980d-dabb6de03719,nala,"Clifton Down Shopping Centre Whiteladies Road, Bristol, BS8 2NN",bristol,clifton,nala,nala-not-just-noodles-bristol,,bristol,clifton-down,https://deliveroo.co.uk/menu/bristol/clifton-down/nala-not-just-noodles-bristol,100.0,100.0,24.24,,,False,67.5,32.5,True,high confidence deliveroo match,True
deliveroo,81,04f1440c-d14c-4fc8-b6a6-d3ad57ad2ec6,Chill Grill,"Waring House Redcliff Hill, Bristol, BS1 6TB",bristol,redcliffe,chill-grill,chill-grill,,bristol,redcliffe-hill,https://deliveroo.co.uk/menu/bristol/redcliffe-hill/chill-grill,100.0,100.0,100.0,,,True,72.74,27.26,True,high confidence deliveroo match,True
deliveroo,82,05117f56-48a1-4a23-94a6-4cd1a8a29a00,The Kandyan,"405 Gloucester Road, Bristol, BS7 8TS",bristol,horfield,the-kandyan,the-kandyan-bristol,,bristol,horfield-area,https://deliveroo.co.uk/menu/bristol/horfield-area/the-kandyan-bristol,100.0,100.0,73.33,,,False,68.91,31.09,True,high confidence deliveroo match,True
deliveroo,103,0642344b-e66b-4e4b-89c5-399379f9d08f,Subway,"Broadwalk Shopping Centre Broad Walk, Bristol, BS4 2QU",bristol,knowle,subway,subway-broadwalk-39733,,bristol,upper-knowle-and-totterdown,https://deliveroo.co.uk/menu/bristol/upper-knowle-and-totterdown/subway-broadwalk-39733,100.0,100.0,42.86,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,130,0794e39b-cee4-431b-b2b4-f72fc78fc6f6,Londis,"30 Chandos Road, Bristol, BS6 6PF",bristol,redland,londis,londis-redland-fs133,,bristol,redland,https://deliveroo.co.uk/menu/bristol/redland/londis-redland-fs133,100.0,100.0,46.15,,,False,62.86,37.14,True,high confidence deliveroo match,True
deliveroo,137,07ce1d1e-8c9d-4806-bfb2-8ffc11c8a2d6,Asda,"Oatlands Avenue, Bristol, BS14 0ST",bristol,hengrove,asda,4183-asda-bristol-whitchurch-superstore,,bristol,hengrove-area,https://deliveroo.co.uk/menu/bristol/hengrove-area/4183-asda-bristol-whitchurch-superstore,100.0,100.0,18.6,,,False,67.5,32.5,True,high confidence deliveroo match,True
deliveroo,147,089b0bd2-bb58-406e-ad47-a6735b599a80,Stockwood Fish Bar,"86 Hollway Road, Bristol, BS14 8PG",bristol,stockwood,stockwood-fish-bar,stockwood-fish-bar,,bristol,stockwood-area,https://deliveroo.co.uk/menu/bristol/stockwood-area/stockwood-fish-bar,100.0,100.0,100.0,,,True,83.75,16.25,True,high confidence deliveroo match,True
deliveroo,175,0a749e0b-fa17-4a38-bb97-5a0e19c8ad21,Popeyes,BS2 0SP,bristol,st-philips-marsh,popeyes,popeyes-lousiana-kitchen-bristol-avonmeads,,bristol,st-philips-marsh,https://deliveroo.co.uk/menu/bristol/st-philips-marsh/popeyes-lousiana-kitchen-bristol-avonmeads,100.0,100.0,28.57,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,188,0b324121-9ed5-4aa9-9912-d7502afe84ae,Parsons,"3 Princess Victoria Street, Bristol, BS8 4BX",bristol,clifton,parsons,parsons-bakery-ltd,,bristol,clifton,https://deliveroo.co.uk/menu/bristol/clifton/parsons-bakery-ltd,100.0,100.0,56.0,,,False,75.0,25.0,True,high confidence deliveroo match,True
deliveroo,213,0d128049-4853-49a1-adbe-2614de5f33d2,Hatter House Cafe,"93-95 Broadmead, Bristol, BS1 3DT",bristol,broadmead,hatter-house-cafe,hatter-house-cafe,,bristol,broadmead-and-cabot-circus,https://deliveroo.co.uk/menu/bristol/broadmead-and-cabot-circus/hatter-house-cafe,100.0,100.0,100.0,,,True,64.55,35.45,True,high confidence deliveroo match,True
deliveroo,249,0fdbff0d-afc1-4850-a442-82d749efdae8,Royalty,"1 High St, Winterbourne, Bristol BS36 1JN, UK",bristol,whitchurch,royalty,royalty-takeaway-bs14-ah,,bristol,whitchurch-area,https://deliveroo.co.uk/menu/bristol/whitchurch-area/royalty-takeaway-bs14-ah,100.0,100.0,45.16,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,268,10fb76ac-1bf1-4dac-bdaf-30690b99b3d8,Anna,"7a Boyces Avenue, Bristol, BS8 4AA",bristol,clifton,anna,anna-cake-couture,,bristol,clifton,https://deliveroo.co.uk/menu/bristol/clifton/anna-cake-couture,100.0,100.0,38.1,,,False,67.5,32.5,True,high confidence deliveroo match,True
deliveroo,313,1482a247-7a0b-46a0-9829-572dc7683bd3,Wingers,"Unit 3, 821 Bath Road, BS4 5NL",bristol,brislington,wingers,wingers-brislington,,bristol,broomhill-and-brislington,https://deliveroo.co.uk/menu/bristol/broomhill-and-brislington/wingers-brislington,100.0,100.0,53.85,,,False,63.26,36.74,True,high confidence deliveroo match,True
deliveroo,317,14be5681-fe3d-4b92-8831-43ac87170f1f,Eggless Cake Shop,"58 Filton Road, Bristol, BS7 0PB",bristol,horfield,eggless-cake-shop,eggless-cake-shop-bristol,,bristol,horfield-area,https://deliveroo.co.uk/menu/bristol/horfield-area/eggless-cake-shop-bristol,100.0,100.0,80.95,,,False,64.25,35.75,True,high confidence deliveroo match,True
deliveroo,331,15b87dd6-0258-4765-b036-063f74a2063c,Take A Break,"124 Cheltenham Road, Bristol, BS6 5RW",bristol,montpelier,take-a-break,take-a-break-124-cheltenham-road,,bristol,montpelier-station,https://deliveroo.co.uk/menu/bristol/montpelier-station/take-a-break-124-cheltenham-road,100.0,100.0,54.55,,,False,66.62,33.38,True,high confidence deliveroo match,True
deliveroo,409,1b08dcd7-3eeb-4ce1-9ab2-9e9f1e244ac5,Boston Tea Party,"4 Whiteladies Road, Bristol, BS8 2QY",bristol,clifton,boston-tea-party,boston-tea-party-park-street,,bristol,clifton-down,https://deliveroo.co.uk/menu/bristol/clifton-down/boston-tea-party-park-street,100.0,100.0,72.73,,,False,68.7,31.3,True,high confidence deliveroo match,True
deliveroo,426,1c422916-3b5e-408c-b538-0c1d9d77a3de,Dragon i,"42 High Street, Bristol, BS11 0DJ",bristol,shirehampton,dragon-i,dragon-i-bristol,,bristol,shirehampton,https://deliveroo.co.uk/menu/bristol/shirehampton/dragon-i-bristol,100.0,100.0,66.67,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,439,1d0e878a-49bf-4806-a973-a8b61f9789bd,Nutmeg,"10 The Mall, Bristol, BS8 4DR",bristol,clifton,nutmeg,nutmeg,,bristol,clifton,https://deliveroo.co.uk/menu/bristol/clifton/nutmeg,100.0,100.0,100.0,,,True,,999.0,True,high confidence deliveroo match,True
deliveroo,460,1ea3f345-d9fc-4445-93b3-092480e45b37,Grounded,"421-425 Gloucester Road, Bristol, BS7 8TZ",bristol,horfield,grounded,grounded-horfield,,bristol,horfield-area,https://deliveroo.co.uk/menu/bristol/horfield-area/grounded-horfield,100.0,100.0,64.0,,,False,62.37,37.63,True,high confidence deliveroo match,True
deliveroo,479,20cab84f-2044-48c0-bab8-56885542fc59,Co-op,"78-84 Ridingleaze, Bristol, BS11 0QB",bristol,lawrence-weston,co-op,co-op-lawrence-weston,,bristol,lawrence-weston-and-henbury,https://deliveroo.co.uk/menu/bristol/lawrence-weston-and-henbury/co-op-lawrence-weston,100.0,100.0,38.46,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,521,240c79bd-ecd7-451a-9345-d69c60699ef5,Piazza di Roma,"178 Whiteladies Road, Bristol, BS8 2XU",bristol,clifton,piazza-di-roma,piazza-di-roma,,bristol,clifton-down,https://deliveroo.co.uk/menu/bristol/clifton-down/piazza-di-roma,100.0,100.0,100.0,,,True,67.5,32.5,True,high confidence deliveroo match,True
deliveroo,570,26faec46-682b-4df7-8c69-bcf1f4ab880d,Giggling Squid,"34 Princess Victoria Street, Bristol, BS8 4BZ",bristol,clifton,giggling-squid,giggling-squid-clifton,,bristol,clifton,https://deliveroo.co.uk/menu/bristol/clifton/giggling-squid-clifton,100.0,100.0,77.78,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,574,27661ddf-0f1b-48ad-8178-5ee108c3f0ce,Wingstop,"39 George White Street, Bristol, BS1 3BA",bristol,broadmead,wingstop,wingstop-bristol,,bristol,broadmead-and-cabot-circus,https://deliveroo.co.uk/menu/bristol/broadmead-and-cabot-circus/wingstop-bristol,100.0,100.0,66.67,,,False,65.95,34.05,True,high confidence deliveroo match,True
deliveroo,592,2889cd2f-aa39-41d8-a549-40796d6dd3c7,Welcome Stoke Bishop,"5 Druid Hill, Bristol, BS9 1EW",bristol,stoke-bishop,welcome-stoke-bishop,welcome-co-op-stoke-bishop-5-druid-hill,,bristol,stoke-bishop-and-sneyd-park,https://deliveroo.co.uk/menu/bristol/stoke-bishop-and-sneyd-park/welcome-co-op-stoke-bishop-5-druid-hill,100.0,100.0,67.8,,,False,83.75,16.25,True,high confidence deliveroo match,True
deliveroo,601,291e7164-be34-41db-8718-2c013f0e4e76,maxin,"168 Easton Road, Bristol, BS5 0ES",bristol,easton,maxin,maxin-chicken-easton-road,,bristol,st-judes-and-easton,https://deliveroo.co.uk/menu/bristol/st-judes-and-easton/maxin-chicken-easton-road,100.0,100.0,33.33,,,False,,999.0,True,high confidence deliveroo match,True
deliveroo,613,29a3db62-88ef-43dc-b72a-c81feb28d91e,My Treats,"15 Broad Walk, Bristol, BS4 2RA",bristol,upper-knowle,my-treats,my-treats-knowle,,bristol,upper-knowle-and-totterdown,https://deliveroo.co.uk/menu/bristol/upper-knowle-and-totterdown/my-treats-knowle,100.0,100.0,72.0,,,False,61.67,38.33,True,high confidence deliveroo match,True
deliveroo,625,2a908258-9974-4cf0-9c23-2f2251f0f7df,Supreme Sports Lounge,"Bristol, BS2 0SZ",bristol,st-philips-marsh,supreme-sports-lounge,sports-lounge-bristol-t-a-supreme-kitchen-bristol,,bristol,st-philips-marsh,https://deliveroo.co.uk/menu/bristol/st-philips-marsh/sports-lounge-bristol-t-a-supreme-kitchen-bristol,100.0,100.0,37.14,,,False,64.35,35.65,True,high confidence deliveroo match,True
deliveroo,627,2acdc37c-1c70-4fa5-8a17-616eef95c9dd,The Kingsdown Vaults,"29-31 Kingsdown Parade, Bristol, BS6 5UE",bristol,cotham,the-kingsdown-vaults,boigers-at-the-kingsdown-vaults-29-31-kingsdown-parade,,bristol,cotham,https://deliveroo.co.uk/menu/bristol/cotham/boigers-at-the-kingsdown-vaults-29-31-kingsdown-parade,100.0,100.0,54.05,,,False,65.59,34.41,True,high confidence deliveroo match,True
deliveroo,652,2d09cce7-9e39-4927-84c5-05a9e5c907e3,Vanoosh,"3 West Street, Bristol, BS2 0DF",bristol,st-philips,vanoosh,vanoosh,,bristol,st-philips-and-old-market,https://deliveroo.co.uk/menu/bristol/st-philips-and-old-market/vanoosh,100.0,100.0,100.0,,,True,62.08,37.92,True,high confidence deliveroo match,True
