service,name,city,address,url
firsttable,Crispy Dosa Bristol,bristol,City Centre,https://www.firsttable.co.uk/bristol/city-centre/crispy-dosa-bristol
firsttable,Third Eye Restaurant & Bar,bristol,Clifton,https://www.firsttable.co.uk/bristol/clifton/third-eye-restaurant-and-bar
firsttable,Kashmir,bristol,St Pauls,https://www.firsttable.co.uk/bristol/st-pauls/kashmir
firsttable,The Queens Chew Magna,bristol,Chew Magna,https://www.firsttable.co.uk/bristol/chew-magna/the-queens-chew-magna
firsttable,Mangosteen Cotham Hill,bristol,Cotham Hill,https://www.firsttable.co.uk/bristol/cotham-hill/mangosteen
firsttable,Bianchis,bristol,Central,https://www.firsttable.co.uk/bristol/central/bianchis
firsttable,Souk Kitchen,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/souk-kitchen
firsttable,Mangosteen North St,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/mangosteen-north-st
firsttable,Mangosteen,bristol,Gloucester Road,https://www.firsttable.co.uk/bristol/gloucester-road/mangosteen-gloucester-road
firsttable,Rock Salt,bristol,Cotham Hill,https://www.firsttable.co.uk/bristol/cotham-hill/rock-salt
firsttable,The Old House at Home,bristol,Chippenham,https://www.firsttable.co.uk/bristol/chippenham/the-old-house-at-home
firsttable,Harbour Hub,bristol,Central,https://www.firsttable.co.uk/bristol/central/harbour-hub
firsttable,Yafo,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/yafo
firsttable,The Bear & Swan,bristol,Chew Magna,https://www.firsttable.co.uk/bristol/chew-magna/the-bear-and-swan
firsttable,Local.,bristol,Bedminster,https://www.firsttable.co.uk/bristol/bedminster/north-street-standard
firsttable,Terrace at 43,bristol,Clifton,https://www.firsttable.co.uk/bristol/clifton/terrace-at-43
firsttable,Chippenham,bristol,Chippenham,https://www.firsttable.co.uk/bristol/chippenham/breakfast
firsttable,Central Bristol,bristol,Central,https://www.firsttable.co.uk/bristol/central/breakfast
firsttable,Southville,bristol,Southville,https://www.firsttable.co.uk/bristol/southville/breakfast
firsttable,Chew Magna,bristol,Chew Magna,https://www.firsttable.co.uk/bristol/chew-magna/breakfast
firsttable,Bedminster,bristol,Bedminster,https://www.firsttable.co.uk/bristol/bedminster/breakfast
firsttable,Clifton,bristol,Clifton,https://www.firsttable.co.uk/bristol/clifton/breakfast
firsttable,Renato's,bristol,Central,https://www.firsttable.co.uk/bristol/central/renatos
firsttable,Dangun,bristol,Central,https://www.firsttable.co.uk/bristol/central/dangun
firsttable,Bambalan,bristol,Central,https://www.firsttable.co.uk/bristol/central/bambalan
firsttable,King Street Raj,bristol,Central,https://www.firsttable.co.uk/bristol/central/king-street-raj
firsttable,Buenasado,bristol,Central,https://www.firsttable.co.uk/bristol/central/buenasado
firsttable,The Ox Bristol,bristol,Central,https://www.firsttable.co.uk/bristol/central/the-ox
