name,category,category_key,category_slug,address,city_slug,area_slug,business_slug,latitude,longitude,phone,website,email,google_maps_url,photo_url,image_url,google_summary,opening_hours,google_rating,google_review_count,google_place_id,tags,chain_flag,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,status,ranking_tier,source,scrape_date
Radford Mill Farm Shop,Food & Produce,food_produce,food-and-produce,"41 Picton St, Montpelier, Bristol BS6 5PZ, UK",bristol,montpelier,radford-mill-farm-shop,51.4658649,-2.5882269,0117 942 6644,http://www.radfordmillfarmshop.co.uk/,,https://maps.google.com/?cid=8241729469101842032,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFzqerHl6N3MF9aZqPnier3MFaVnHogf5Jsm9eS6WW2os21MUtZu2wl8TfRnxyR41kNIur8GkFdrAFKagFT3nQvF4wob5wbFVub5wFooTB0sohncZvb0SBJYeyWizctxkGYQtEWnEey25t9P-HIkLjCirI3ZM1FguCvoU3zwoFC3ja_j-gsHNYf5TP53N9W8z06b5olEnTFTipA3AKPfyLAIbkD2JLVoXVuHk8ZgAIS3ki6ogMX1YWgcTpb8kh0Ngvzo-1BqHxHVR2QOf0t7z1J2B6BkLF9nUC21Z-17sVpfM-OGoIWv_VWhbZS28ULubnFcZTgrgpVTJV6W-ekldU9kJiFqMOzEgMcfSlXUl613y4kivz_tDvqxVaFUOz1jTq4vj0mFdPsfkbVBTHTUgRiarZgyVWqfV4&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFzqerHl6N3MF9aZqPnier3MFaVnHogf5Jsm9eS6WW2os21MUtZu2wl8TfRnxyR41kNIur8GkFdrAFKagFT3nQvF4wob5wbFVub5wFooTB0sohncZvb0SBJYeyWizctxkGYQtEWnEey25t9P-HIkLjCirI3ZM1FguCvoU3zwoFC3ja_j-gsHNYf5TP53N9W8z06b5olEnTFTipA3AKPfyLAIbkD2JLVoXVuHk8ZgAIS3ki6ogMX1YWgcTpb8kh0Ngvzo-1BqHxHVR2QOf0t7z1J2B6BkLF9nUC21Z-17sVpfM-OGoIWv_VWhbZS28ULubnFcZTgrgpVTJV6W-ekldU9kJiFqMOzEgMcfSlXUl613y4kivz_tDvqxVaFUOz1jTq4vj0mFdPsfkbVBTHTUgRiarZgyVWqfV4&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:15 AM – 6:30 PM | Tuesday: 8:15 AM – 6:30 PM | Wednesday: 8:15 AM – 6:30 PM | Thursday: 8:15 AM – 6:30 PM | Friday: 8:15 AM – 6:30 PM | Saturday: 10:00 AM – 5:30 PM | Sunday: Closed,4.5,51,ChIJ-WPy0QyOcUgRcB6vHEmBYHI,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,https://www.facebook.com/radfordmill,https://www.instagram.com/radfordmillfarmshop,,,,,pending,standard,Google Places,2026-04-11
Flourish at Glenavon Farm - Foodhall & Kitchen and Home & Lifestyle,Food & Produce,food_produce,food-and-produce,"Glenavon Farm, Bath Rd, Saltford, Bristol BS31 3TJ, UK",bristol,,flourish-at-glenavon-farm---foodhall-kitchen-and-home-lifestyle,51.4073445,-2.4687156,01225 536644,https://www.flourish-group.co.uk/,,https://maps.google.com/?cid=2885056781121255534,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHYXnLXUgGyJGhHs05kO2BDofq_0wga7OTZpp8aXvX6idXrPzPnHZVMVTUVgZEvWQHf71_NEx396s09YkNxFYTMsmatDIqvkIWDU3azfKpNmH_69gGJ0-FoEV_MWm6KZeZdd73KrK8y-DI4qJ5vjFRFRm_S7Wsxkvstr1G-QIFZVRnyWqCnSvAhaSmiegJJwnBJKL8YrBOMTKEqX2PCQz90d2uV-fRAliG_iGFiENJ3xp37_jusYp2_Rl51GPKTo9PwZ9Rwp3eJF8e90U1SuqGeTEDQGb5FGl0MiKNCbnIjWw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHYXnLXUgGyJGhHs05kO2BDofq_0wga7OTZpp8aXvX6idXrPzPnHZVMVTUVgZEvWQHf71_NEx396s09YkNxFYTMsmatDIqvkIWDU3azfKpNmH_69gGJ0-FoEV_MWm6KZeZdd73KrK8y-DI4qJ5vjFRFRm_S7Wsxkvstr1G-QIFZVRnyWqCnSvAhaSmiegJJwnBJKL8YrBOMTKEqX2PCQz90d2uV-fRAliG_iGFiENJ3xp37_jusYp2_Rl51GPKTo9PwZ9Rwp3eJF8e90U1SuqGeTEDQGb5FGl0MiKNCbnIjWw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: 9:00 AM – 4:00 PM,4.1,679,ChIJo8POCnGFcUgRbniQU9vHCSg,"{""cafe"",""establishment"",""food"",""home_goods_store"",""point_of_interest"",""restaurant"",""store""}",independent,https://www.facebook.com/tr,https://www.instagram.com/flourishfoodhallkitchen,,,,,pending,standard,Google Places,2026-04-11
Easter Compton Farm Shop and Cafe,Food & Produce,food_produce,food-and-produce,"Main Rd, Easter Compton, Bristol BS35 5RE, UK",bristol,,easter-compton-farm-shop-and-cafe,51.5453503,-2.6206348,01454 633943,http://ecfarmshop.com/,,https://maps.google.com/?cid=272892087316958714,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE8G4ZqlWKFVkzoaajDRobuTkyTL9Zo7BSyg7MgtjdEwHX-AS6JUSiQbVuJG9AziqWDmX96ODx3taMfcNxiqXrQbV4gkfJXfwEBFARuVmV9UE1kNCV9IKBgYduriOnM76iU7y9yWmjEQ_sJPzF0XWXb5hSDncfgFsOYiNoWy3EMNgcw0-IzGqFsKRAUE9op3oqfCp8_As_smQ-G-jlQTy6UYU07ZjnL57gJVenw5in9EZ9vNjn9ZngiN-d_GhjiDOXVJfFWVY9Fcf92b7xqIeK43IFq29cDFlzZ-HoK7FESLw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE8G4ZqlWKFVkzoaajDRobuTkyTL9Zo7BSyg7MgtjdEwHX-AS6JUSiQbVuJG9AziqWDmX96ODx3taMfcNxiqXrQbV4gkfJXfwEBFARuVmV9UE1kNCV9IKBgYduriOnM76iU7y9yWmjEQ_sJPzF0XWXb5hSDncfgFsOYiNoWy3EMNgcw0-IzGqFsKRAUE9op3oqfCp8_As_smQ-G-jlQTy6UYU07ZjnL57gJVenw5in9EZ9vNjn9ZngiN-d_GhjiDOXVJfFWVY9Fcf92b7xqIeK43IFq29cDFlzZ-HoK7FESLw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 9:00 AM – 4:00 PM,4.4,458,ChIJ0d9QyMOTcUgR-s2KVuiByQM,"{""cafe"",""establishment"",""food"",""point_of_interest"",""store""}",independent,http://www.facebook.com/2008,https://www.instagram.com/joannas_freerange_kitchen,,,,,pending,standard,Google Places,2026-04-11
The Farm Shop At Noah's Ark,Food & Produce,food_produce,food-and-produce,"Moat Cottage, Bristol BS48 1PG, UK",bristol,,the-farm-shop-at-noah's-ark,51.452357,-2.7396398,01275 850156,https://www.noahsarkfarmshop.co.uk/,,https://maps.google.com/?cid=9059946027837410823,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF9Q4PILa-HTnUe2jOzsU6YzsVwZy_M5gY2Nn1odt68tmODCjq90x4kCeqrvF-BDkJqFqOxdj5ooL081zGURWUTFxN3sQwREf8SPEi-lCMtAav_y8m1tVKbVYkhIx_3L_yM0YL6vsxvP4SIEAYKW9FNpqmhC1mL_pk4hMSss41OsbtLjbwilaaRCtLCSuniC2J4OwQfhKyX2HwjL1zqcY997KoELNzvI_OY0eNKEBA2NSvkO1OvusMKOpwwjgUoi-D5wivz1R2NNL5JeELAPjHkk5KOXEtmGQlhx35ttoyWJmaZpKJge8T3mfQz_ds_ig8ry5XGGeM1zXGVkhNnEvyksEGTE4amzxobUmNIafeSQ_uUZwlqVdJ1bHayarafOJ09DoOFkXJc5unJHQ1AnNkcy1l-I24jMLJObz9CszdKYdZs&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF9Q4PILa-HTnUe2jOzsU6YzsVwZy_M5gY2Nn1odt68tmODCjq90x4kCeqrvF-BDkJqFqOxdj5ooL081zGURWUTFxN3sQwREf8SPEi-lCMtAav_y8m1tVKbVYkhIx_3L_yM0YL6vsxvP4SIEAYKW9FNpqmhC1mL_pk4hMSss41OsbtLjbwilaaRCtLCSuniC2J4OwQfhKyX2HwjL1zqcY997KoELNzvI_OY0eNKEBA2NSvkO1OvusMKOpwwjgUoi-D5wivz1R2NNL5JeELAPjHkk5KOXEtmGQlhx35ttoyWJmaZpKJge8T3mfQz_ds_ig8ry5XGGeM1zXGVkhNnEvyksEGTE4amzxobUmNIafeSQ_uUZwlqVdJ1bHayarafOJ09DoOFkXJc5unJHQ1AnNkcy1l-I24jMLJObz9CszdKYdZs&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:30 AM – 5:30 PM | Tuesday: 9:30 AM – 5:30 PM | Wednesday: 9:30 AM – 5:30 PM | Thursday: 9:30 AM – 5:30 PM | Friday: 9:30 AM – 5:30 PM | Saturday: 9:30 AM – 5:30 PM | Sunday: 9:30 AM – 5:30 PM,4.8,32,ChIJPcIZUffzcUgRB851Ielku30,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,https://www.facebook.com/noahsarkfarmshop,https://www.instagram.com/noahsark_farmshop,,,,,pending,standard,Google Places,2026-04-11
New Manor Farm Shop,Food & Produce,food_produce,food-and-produce,"New Manor Farm, West Harptree, Bristol BS40 6HP, UK",bristol,,new-manor-farm-shop,51.3233225,-2.6132575,01761 220067,http://newmanorfarmshop.co.uk/,,https://maps.google.com/?cid=7450793597826899366,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEPgPETK6n4IYe7BHLv2fqy3ElfSpIoy3y6RRx9FTpa6OwlY4_Bp1lcex-_bGg-IXYrdPn6GTyZchnm1JJxbz9NvXL3CuLsfKGHtbB7t1RjgalWumVbM-zXfuZzESc9VjJa6B2HUX7otwRpEdQVJuaG7ISbaRlOGrb-YoZMu5PuNp5ZmaBUTgMw3wxaFGmtGTNpQe6pNjkqcy5IXXfqQ9rEkDZvdnsJNx9zZimSEJtzyP2QQOqx3c98KuszWJw4a5JCCue9NLAnEmUGCa9gmL1k4_TYYrozlTXj4fsAoB6WVjWz2_JTkikd6RmXcyLffd2N1g7sGQFRJRDhvyH9riJqhnVClAZ6b2k1twcNrYt9kH4Ts48cVhCSG4lDeFr0FLa0rAIWQVan18bL3Jz3lCx9eED9i32Vif4wZbFgBDIzvpQ1&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEPgPETK6n4IYe7BHLv2fqy3ElfSpIoy3y6RRx9FTpa6OwlY4_Bp1lcex-_bGg-IXYrdPn6GTyZchnm1JJxbz9NvXL3CuLsfKGHtbB7t1RjgalWumVbM-zXfuZzESc9VjJa6B2HUX7otwRpEdQVJuaG7ISbaRlOGrb-YoZMu5PuNp5ZmaBUTgMw3wxaFGmtGTNpQe6pNjkqcy5IXXfqQ9rEkDZvdnsJNx9zZimSEJtzyP2QQOqx3c98KuszWJw4a5JCCue9NLAnEmUGCa9gmL1k4_TYYrozlTXj4fsAoB6WVjWz2_JTkikd6RmXcyLffd2N1g7sGQFRJRDhvyH9riJqhnVClAZ6b2k1twcNrYt9kH4Ts48cVhCSG4lDeFr0FLa0rAIWQVan18bL3Jz3lCx9eED9i32Vif4wZbFgBDIzvpQ1&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: 9:00 AM – 4:00 PM,4.4,685,ChIJ7wkYZXSKcUgRph06HU2JZmc,"{""cafe"",""establishment"",""food"",""point_of_interest"",""store""}",independent,http://www.facebook.com/2008,,,,,,pending,standard,Google Places,2026-04-11
Yew Tree Farm at the Motto barrow Gurney,Food & Produce,food_produce,food-and-produce,"Yewtree Farm/Bridgwater Rd, Bristol BS13 8AJ, UK",bristol,,yew-tree-farm-at-the-motto-barrow-gurney,51.4218955,-2.6340771,07811 937542,http://yewtreefarmbristol.com/,,https://maps.google.com/?cid=9292316059643711913,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHSaEagz42kdXPWImAswwbZ6S_5yDE2p6EJnaEZ3KaMZj9xcWT0JOcMZYdtp9wosQ2wFXknufw5ep3A4IG9tEtHkimPwZfgX5bMf_4xK8FtsVThG3uHKriiH2_niQLcCCLI9xlQ1JyK6kWrbJPHnP52pgcKYxR0OGQp7ebPJk_anZlw9rIskO3ZNzgVcnWen9Oz3A7muaUb3S8NwIbqA4RcAIoiLCqzRtOsTkEI9QbrIE5mo8jT0-XfHvHw5EedNvhqePuJvht6I0A-hpqB6qJEj6TtpmjDR2DMWarJWYoN6wVtjgdprOg0sKEzXAFOcq1XPnSlUPpSpIRP-kOdHG_Mu-a9RXs8i1ZyeQJS4x02hGvIpokpkc5RgGkBqdvJKu82B0qVG-p6t9pHaI_Wy36D7fH1PvsGe5mZ1o5GyQz2pQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHSaEagz42kdXPWImAswwbZ6S_5yDE2p6EJnaEZ3KaMZj9xcWT0JOcMZYdtp9wosQ2wFXknufw5ep3A4IG9tEtHkimPwZfgX5bMf_4xK8FtsVThG3uHKriiH2_niQLcCCLI9xlQ1JyK6kWrbJPHnP52pgcKYxR0OGQp7ebPJk_anZlw9rIskO3ZNzgVcnWen9Oz3A7muaUb3S8NwIbqA4RcAIoiLCqzRtOsTkEI9QbrIE5mo8jT0-XfHvHw5EedNvhqePuJvht6I0A-hpqB6qJEj6TtpmjDR2DMWarJWYoN6wVtjgdprOg0sKEzXAFOcq1XPnSlUPpSpIRP-kOdHG_Mu-a9RXs8i1ZyeQJS4x02hGvIpokpkc5RgGkBqdvJKu82B0qVG-p6t9pHaI_Wy36D7fH1PvsGe5mZ1o5GyQz2pQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: Closed | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,4.8,24,ChIJUfKKZ2eMcUgRqZG4Mznw9IA,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,http://www.facebook.com/2008,https://www.instagram.com/yewtreefarm11,https://twitter.com/Catherinewith11,,,,pending,standard,Google Places,2026-04-11
Gatcombe Farm Shop,Food & Produce,food_produce,food-and-produce,"Weston Rd, Flax Bourton, Bristol BS48 3QT, UK",bristol,,gatcombe-farm-shop,51.4253007,-2.6818737,01275 394404,https://www.facebook.com/gatcombefarmshop1/?locale=en_GB,,https://maps.google.com/?cid=2982246980859336669,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFN5hCJhc-pi_2mxP4g9544MI7Eo_hpQT2DiR1NXrQ1IInzoE6tUPm1xaW_C18Nhqt6botFxq6FaueK3kxS-Hc5d_XaV73SEwBdPyFMMkceaFpD_Bqs6XuJjkq-UyM7MQDYEUJ1QVfm7d3nuGR7EFAacFtWPS7vkgww6edBdU0e5euaYZNHzV0R9ZWnxEsWOQcPen2tZKG238hcrIQQkUPfgvj-loUgzkl-P4w-VXklgts2sUeM1_MLSnKcdzaSEoo-v5KN8rNqQ7u8VgX3Qo7DNmvgpr_WLwCwdpNkvPdTVqllETrK_AOx9njYNr__H4fPei391QRor5kh7lzI7_tgRs25ABnBefW56ut3Si_M83zJjERYqZ6sWw3W-IPao8T0oHOhqbqDfW09tlb0SPwCSkZeosGfiA0VuYrXEgNuPg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFN5hCJhc-pi_2mxP4g9544MI7Eo_hpQT2DiR1NXrQ1IInzoE6tUPm1xaW_C18Nhqt6botFxq6FaueK3kxS-Hc5d_XaV73SEwBdPyFMMkceaFpD_Bqs6XuJjkq-UyM7MQDYEUJ1QVfm7d3nuGR7EFAacFtWPS7vkgww6edBdU0e5euaYZNHzV0R9ZWnxEsWOQcPen2tZKG238hcrIQQkUPfgvj-loUgzkl-P4w-VXklgts2sUeM1_MLSnKcdzaSEoo-v5KN8rNqQ7u8VgX3Qo7DNmvgpr_WLwCwdpNkvPdTVqllETrK_AOx9njYNr__H4fPei391QRor5kh7lzI7_tgRs25ABnBefW56ut3Si_M83zJjERYqZ6sWw3W-IPao8T0oHOhqbqDfW09tlb0SPwCSkZeosGfiA0VuYrXEgNuPg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Rustic store offering a greengrocers, butchers and delicatessen.",Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 10:00 AM – 4:00 PM,4.4,148,ChIJ0V1I4ciMcUgR3ReaFtQRYyk,"{""establishment"",""food"",""point_of_interest"",""store""}",independent,https://www.facebook.com/gatcombefarmshop1,,,,,,pending,standard,Google Places,2026-04-11
Windmill Hill City Farm,Food & Produce,food_produce,food-and-produce,"Philip St, Bedminster, Bristol BS3 4EA, UK",bristol,bedminster,windmill-hill-city-farm,51.4424552,-2.5932025,0117 963 3252,http://www.windmillhillcityfarm.org.uk/,,https://maps.google.com/?cid=248881932638884399,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGQ_LKzvpM2FTtB0NwOPuUL9yx8YN9Cz6rrjeETT4__ALBfJMjNFoCDE6X0czYZdsCTIh2_81uI0DuSFwTWLaEyMeUUuZ1e4tGT938ynZNkvLbMNWvhuHsBGBEeih2U_LkT2AyoWJO1yjxdwb6W3heTvQfTSSonW975tPRbBFKN-TUKLha-lWmk7K_8TS6TL7_jumWb40grb5SY7Tn6h7_Pb_FcWk0FQI_GtwThk6fvDk3wsUpcV0VtTq-Qu-SMCR6Eawt6U605BQbOwtzfAPbamZuWFtNIJXPOLkgX44fmOQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGQ_LKzvpM2FTtB0NwOPuUL9yx8YN9Cz6rrjeETT4__ALBfJMjNFoCDE6X0czYZdsCTIh2_81uI0DuSFwTWLaEyMeUUuZ1e4tGT938ynZNkvLbMNWvhuHsBGBEeih2U_LkT2AyoWJO1yjxdwb6W3heTvQfTSSonW975tPRbBFKN-TUKLha-lWmk7K_8TS6TL7_jumWb40grb5SY7Tn6h7_Pb_FcWk0FQI_GtwThk6fvDk3wsUpcV0VtTq-Qu-SMCR6Eawt6U605BQbOwtzfAPbamZuWFtNIJXPOLkgX44fmOQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Cows, pigs, sheep & ducks on a hilly farm with a cafe & shop selling handicrafts made on site.",Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 5:00 PM,4.7,1802,ChIJZaR7R4COcUgRLxL0kcw0dAM,"{""cafe"",""establishment"",""food"",""point_of_interest"",""store""}",independent,https://www.facebook.com/WindmillHillCityFarm,https://www.instagram.com/windmill_hill_city_farm,,,,,pending,standard,Google Places,2026-04-11
Farrington's Farm Shop & Café,Food & Produce,food_produce,food-and-produce,"Main St, Farrington Gurney, Bristol BS39 6UB, UK",bristol,,farrington's-farm-shop-café,51.29706299999999,-2.5257923,01761 452266,http://farringtons.co.uk/,,https://maps.google.com/?cid=7601847306930072821,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEtJpTNXcEEPh3IE2FMfCVilXm4-5b1HxFlnXPauOgxRccBqPgP1IKeqhvEZ6SczctWzyejP3VB3C1RBIywswSToOVePfa_yUgAsOWHwv64flkiyjb4RpYQAt3PZddtRa9jzn6VQGHTDX8OYxk4qGACxV-kY6U72fttv4IsU9g61qRhLtdOu_lhETR40pD2aZm5X3tKeN0zJA3N0BdPtY-542_WPwGAq502qLqwLWESrHWwsfAtwnv5axQB7uaxOxdEeiCndT_A3PCuOWXZChAA7cz78O_ExvOtJsySEkDF7SqcXoyayM5uELoQq5S0OcSykJ1MF_OGQdoPf7bzore8HD0YNGZo1TgzwME2409VZMgLbe37RZT4Ovt6mAA4nsrDw0LF_u33lrpaXYUO69HaQCO7c2rwNyYEareGmQrU90Mm&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEtJpTNXcEEPh3IE2FMfCVilXm4-5b1HxFlnXPauOgxRccBqPgP1IKeqhvEZ6SczctWzyejP3VB3C1RBIywswSToOVePfa_yUgAsOWHwv64flkiyjb4RpYQAt3PZddtRa9jzn6VQGHTDX8OYxk4qGACxV-kY6U72fttv4IsU9g61qRhLtdOu_lhETR40pD2aZm5X3tKeN0zJA3N0BdPtY-542_WPwGAq502qLqwLWESrHWwsfAtwnv5axQB7uaxOxdEeiCndT_A3PCuOWXZChAA7cz78O_ExvOtJsySEkDF7SqcXoyayM5uELoQq5S0OcSykJ1MF_OGQdoPf7bzore8HD0YNGZo1TgzwME2409VZMgLbe37RZT4Ovt6mAA4nsrDw0LF_u33lrpaXYUO69HaQCO7c2rwNyYEareGmQrU90Mm&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Rustic store selling seasonal local produce, with an artisan bakery, a craft butcher and a deli.",Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 9:00 AM – 4:00 PM,4.3,1857,ChIJ3QNCKqInckgR9axTbtkvf2k,"{""cafe"",""establishment"",""food"",""meal_takeaway"",""point_of_interest"",""restaurant"",""store""}",independent,https://www.facebook.com/pages,https://www.instagram.com/farringtonsfarm,,,,,pending,standard,Google Places,2026-04-11
Golden Valley Farm Shop & Cafe,Food & Produce,food_produce,food-and-produce,"Golden Valley Ln, Bitton, Bristol BS30 6NZ, UK",bristol,,golden-valley-farm-shop-cafe,51.4274291,-2.4534481,07511 116261,,,https://maps.google.com/?cid=4510433794768921257,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEfqDHHB93dnqfR9vDP1bB5CoILAl7o_3vpWWAYOY56XoHOeNG0GCrztUQ96xDtpTAr1ljYL1ChvnsjcgCtHJQXIXgMqYEpsyqF3G_uzHIKzP0IFRo_2lMoTr79CjRvEjrw8k1QITP4bO8ivXIxRc1AD0jk9fWaKw0FUBDPvbi-DlURMiKVRROC4ADOlYdYeAvbwZTc2-G-l0rxv4ivgbZRyZxFt4YEyCFy99ZJJZ7aJu8cVWRYCqV9rrlW5RRT7zWoho8q7-orKUxzRsIGcPYDb8HkYhIQvp42CjfNFmn6Hbldzixxm5-BOTXZ7ZJF1F057kHSIA6g0gExH_PUPjK0207H5gTWSAuw9QOTzlqGu1azypo7-hekG1jUmGZtxJUdWdEV2vDCCKCL8QC0zYSEPxRAvWkygyTJuWpWmWLTXWo&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEfqDHHB93dnqfR9vDP1bB5CoILAl7o_3vpWWAYOY56XoHOeNG0GCrztUQ96xDtpTAr1ljYL1ChvnsjcgCtHJQXIXgMqYEpsyqF3G_uzHIKzP0IFRo_2lMoTr79CjRvEjrw8k1QITP4bO8ivXIxRc1AD0jk9fWaKw0FUBDPvbi-DlURMiKVRROC4ADOlYdYeAvbwZTc2-G-l0rxv4ivgbZRyZxFt4YEyCFy99ZJJZ7aJu8cVWRYCqV9rrlW5RRT7zWoho8q7-orKUxzRsIGcPYDb8HkYhIQvp42CjfNFmn6Hbldzixxm5-BOTXZ7ZJF1F057kHSIA6g0gExH_PUPjK0207H5gTWSAuw9QOTzlqGu1azypo7-hekG1jUmGZtxJUdWdEV2vDCCKCL8QC0zYSEPxRAvWkygyTJuWpWmWLTXWo&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: 9:00 AM – 4:00 PM | Wednesday: 9:00 AM – 4:00 PM | Thursday: 9:00 AM – 4:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: 9:00 AM – 4:00 PM | Sunday: 9:00 AM – 4:00 PM,4.6,112,ChIJ7R1s2uKFcUgRqWIemKNHmD4,"{""cafe"",""establishment"",""food"",""point_of_interest"",""store""}",independent,,,,,,,pending,standard,Google Places,2026-04-11
