Name,Category,Category Key,Address,Latitude,Longitude,Phone,Website,Google Maps URL,Photo URL (raw),Google Summary,Opening Hours,Google Rating,Google Review Count,Google Types (raw),Google Place ID,Source,Scrape Date,Status,Chain Flag,Editor Notes,Story Draft,Distance (m)
Iceland Supermarket Easton,Food & Produce,food_produce,"190 Lawnwood Rd, Easton, Bristol BS5 0EU, UK",51.46163689999999,-2.5655344,0117 370 5280,https://www.iceland.co.uk/store-finder/store?StoreID=76&StoreName=EASTON&utm_source=Google&utm_medium=GMB&utm_campaign=Store,https://maps.google.com/?cid=7363075888674907206,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF5nO3uQ-v4ByES6w-3UbbjlaCt69K0Zc9dSeDaPatPwPSRPs9y1PyO_5swK1CUXjEHAbfUAOJ-HaxGyQZbh4WkDuqxDe5gQOh6-7K53uWP0VQStjtG_PCAay60ZF4OHglyF7fPDs9M20hk2xNPp04w075IcpWmfYCYUJW5GRibzpzeR8Steh6MwhdPrTyu18LnezvAwWHVnuRw1-blu4zWBN4rq4y530ZoAN9B-ZQoKbHq3fYBntvhOSkMklz9EAVvVQdDDq1Z52keN7O9FDdKCFCJU5rXtyqou1toXBtPOxhgdZqVN8PRLWH72ZPcbnPk5R9HMlPHJMwQ_61KXkujhgHSaL8yb0TuYYIqCW9LrJUGXH9SmNmh3FYDSqDbzEdmdpe-fstHZiyIw7SbC8S2YraeDqg11kMlEJFTtALyeRfK&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Supermarket chain supplying frozen packaged foods, often discounted, plus some dry groceries.",Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 10:00 AM – 4:00 PM,4,454,"bakery, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJxQRfTEGOcUgRRiS2boLmLmY,Google Places,2026-04-08,Pending,Starts with: 'iceland',,,238
Claremont Cakes,Food & Produce,food_produce,"28 Felix Rd, Easton, Bristol BS5 0JW, UK",51.4631986,-2.5692631,07772 789419,http://claremontcakes.co.uk/,https://maps.google.com/?cid=9879999985921469983,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGaRe6AWZ3cLmtp1suZdZELJEi2HdQA_kBXORYTt7Lsz7VQPj2nCpPWpE13nq773cX_xNS-ToDbxqMeA4nRozeoh_CIvx65jAPMGskaXRJ8gDNmonWyvET1a5tgixAjUWb2IwmQeDsqFV4Iu-jSESRr2WU1ZIbjFfoUGRZUIo-j50N7qGcJulmD86zcpc0CGYVqbVyUctx8JWSa6filnjFHG__zWq4T5E0-ps47U7W4_f0UGTLUWEYlDxrlYC2HCOsvN_FtkdDIg6vMhNCL3KL0KUK4ac0UorM4BvhaNr-Qcw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,5,1,"bakery, establishment, food, point_of_interest, store",ChIJ2QRTyAeNcUgRH662BaTPHIk,Google Places,2026-04-08,Pending,,,,138
Zam Zam Bakery,Food & Produce,food_produce,"10 Roman Rd, Easton, Bristol BS5 6DH, UK",51.4661381,-2.5643672,0117 316 4064,,https://maps.google.com/?cid=5495514425662349310,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHjz7rCjkwi4KZVx03XZB4QRWU1TnluQZ-0baMa_AeKMQVmPvseV8E-OzUfu70S99mFfumZj_P5H-t7YRWfvVr2YY9yREZr-ARVwDeEUm6UiStsdIZAxGGogwhAZ04ELHpwwY5hUuILZMnkyYEkQF6mvmfZc5TZL0JiPZH77wBVJz96QTED0wzWqxiReAbscFVGv99_i8iIFVPE50ljwFQh8w-Pg6AnmwpYcVTmHPTygY9JNiaTxPdSJJUxvncS5TeuIq23tpRr2WlH1zeyv_YbV1XYEYMFvU3t1lJAuYGiSw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 1:03 AM | Tuesday: 10:00 AM – 1:03 AM | Wednesday: 10:00 AM – 1:03 AM | Thursday: 10:00 AM – 1:03 AM | Friday: 10:00 AM – 1:03 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 3:00 AM,4.7,212,"bakery, establishment, food, point_of_interest, store",ChIJxyMtYEeOcUgR_p-j70D9Q0w,Google Places,2026-04-08,Pending,,,,361
ping perfect pastry,Food & Produce,food_produce,"Unit 22 Lawrence Hill Industrial Pk, Easton, Bristol BS5 0EB, UK",51.4599724,-2.5670363,,,https://maps.google.com/?cid=17506970103755318187,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEnpF6ViwHiWpk0EyHTXvUI9u1ulRfpY3Gq-R-eZQz6jPTQ3w9ELA1A6zgOOUXxLMkLF4ti-FBZmjZ4Nxv3QOc40x8Fa-sqM8qCt-3I5JENBfu4woRG-tQLescWmuIGg0810Lbxv_1Pk6XEEBTnICVt5qKLZ2EihQnJyZ0Q40TDqNNxo5jmrVhGGKe8LuCHX9oWO3fjwEH3yJUZTWhymkxd49T1N2ZWweVn9WnHv9p2xOBj92rd2xW70AvXZS4cQ8ph9jJZOb4n5k21Dq4lkagKMp7fFTBn4479UnFeLPQFYA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,5,1,"bakery, establishment, food, point_of_interest, store",ChIJc-7v6h-PcUgRqyO4r41A9fI,Google Places,2026-04-08,Pending,,,,389
Aniseed Events Catering Ltd,Food & Produce,food_produce,"11 St. Gabriels Rd, Easton, Bristol BS5 0RT, UK",51.46209229999999,-2.5690179,07941 523779,,https://maps.google.com/?cid=705054807688438520,,,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,5,2,"establishment, food, point_of_interest",ChIJ6TgmoEGOcUgR-GJzr5zbyAk,Google Places,2026-04-08,Pending,,,,193
R Jenkins,Food & Produce,food_produce,"240 Stapleton Rd, Easton, Bristol BS5 0NT, UK",51.4654575,-2.5696326,0117 952 1014,,https://maps.google.com/?cid=3107002663544188973,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEDLD9uoDJHq-FfPbgw_PTb-k3CpZ1_tVEUhiA5UcAf90QWyDbCqQjqQehfbcZWq7n1azTL4B8vKJz9GZPBekjjDp_9xL_bPUFlg1v4FsCeiDSyHdl6BFoYc8SFDMx3gFD3fM4VT8C81ho8Lw0EnI5u19LYbfuaCr3do7BKF01gcce7fRk8JJitZYuU4BdZa2k_mGNV7lgrT8im0NnEm85xLBnfVaGetK-_67bRdihP8TItu-5JZh9FSszoozSRdtK6uFvJOT_53KbeSIqeAHivX4HKvjslyJeXlfxrmn2C9iUgdoZRXcNF1LpljOqid9duoYEdqlI1jYkeOpgNgE8hZi2zxtCY29oFRKfWDPvY9j4BLPyLlAHsdWhc52V6ZhGFIDa8B4RK8GXq4WmoYw4_X1iyB1ix561cGXlNidFqccI&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 1:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 1:00 PM | Sunday: Closed,4.9,64,"establishment, food, point_of_interest, store",ChIJTd2qe0COcUgRLXC-_HVKHis,Google Places,2026-04-08,Pending,,,,274
Maxin Chicken,Food & Produce,food_produce,"168 Easton Rd, Easton, Bristol BS5 0ES, UK",51.46123,-2.567118,0117 955 1003,,https://maps.google.com/?cid=5225361096570734997,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGweyz8UJfwMUJca8ZrvymOlYFDBm0uf91cyxfjbdGHWCNYdag5gxSs5dDficXXNTvb-0QpQjbyNnnB2NkqVVahmF15kcxiDDvkVxGrZHWVxaX4rdCrNq5y-k7KBGerec3dm_1ui37KwUytHkq3vaw76Ns8ofGn6RyxSO-_oUuPMvdhYVeFaEGHCB9j9r31o3uR1oAC5mo-H7j3KtRP3qip2S0Jj3YYxfVpc6kn1jAyIpTEFut_VsYTJSmaL8mZ0j0zrydmAp41cEsSvGes71AiQe5DPG89E7llYo3iURPD3kD5o3qK--W-pfKRjH042Rag2xKPQKw2hhgAJe2l1Gagos8St3GSI60yMhSQAqC2FnXXNrTGR65UTAopzRo3cxeWf7RflyF1UjJNCMGelKXOmtdMR4CEnnciQLP7SYg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 1:00 AM,3.4,89,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",ChIJa-MST0GOcUgRlYk-cDs2hEg,Google Places,2026-04-08,Pending,,,,249
Al Noor Supermarket,Food & Produce,food_produce,"205 Stapleton Rd, Easton, Bristol BS5 0PA, UK",51.4636169,-2.5702899,0117 951 1827,,https://maps.google.com/?cid=3375670582892819412,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEPAseg11Pp588r0Nah8UK2grFInrr4MD2H-MLmXQMcm4XbDh3jX4OtgJAJN7rBhtNtro2wPq3gugbZppU5ULsK5aJ4wMXU33iRqrdMInn4PJPgKO5z7bNvUd_m_SjPwmRWFsY1Il-vH7CQEne5jEk8TE-Ub2cuR6y1Ojl9JQoScrXrVDXap_8XkhvrKqn_hM-MrOezGVo0FPfjK94Xx204JOvYniUocqK50fArtzizS_wBHrr6K1cEt68rBbv3Z0-J67Pd-WdRTLKfU9sPJ1x-bhwRn86xv2GO1Hii2MGv-Q&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,3.9,241,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJ_45iKmqOcUgR1PMPlILK2C4,Google Places,2026-04-08,Pending,,,,207
Premier,Food & Produce,food_produce,"68-70 St Marks Rd, Easton, Bristol BS5 6JH, UK",51.467571,-2.5643966,0117 982 2874,https://www.premier-stores.co.uk/?utm_source=gmb&utm_medium=yext,https://maps.google.com/?cid=11668844555050367692,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFAoWHEYFtRPrKyD_WyOqtC0kyzK4E_oaBbJJlan6iOT0NyceAHjV3YPyjXjwRP2fVp9IrvztNb6TwIKEp84B2h3FDX4W0YD9s_kjNteQ_8CJfzSUgKLu-bhLMsjL52CK-Tbg5B1rohIFY9VHYNzoqap2JvLWjj0RkQhmpcAtMw8-x1wvTTfv3fz97deTcvQRQ5ts96mnjTrwEZM2Dz_l8BuoDOIajw8yYhoy6oTg9qRTK4LdU9RlFPJBkAgSL5S6aXFfXA2Q04e269TC0fc3N5rpwwj6vJYYdOJG7FYZL54A&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Convenience store chain offering baked, fresh & packaged goods, plus alcohol sales.",,3.5,17,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJHxUv6jiOcUgRzDoHc0wQ8KE,Google Places,2026-04-08,Pending,,,,500
B R B Supermarket Easton Ltd,Food & Produce,food_produce,"234 Stapleton Rd, Easton, Bristol BS5 0NT, UK",51.4653368,-2.5697705,0117 952 1965,http://www.nisalocally.com/,https://maps.google.com/?cid=16784308248978772242,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFWsJ2Ob0R173YC7rzb1zaXFFBiaPx85PiNIC8tEXn9In4QsGiq6dwxH1Pe9VHqrQOU-K-O4rGJgaMAOrV-jECE7HjzKob-wIMv8-6iCtDnYxyWG3tnMeRhxlPaP0g0h9ZSNwE22afWzg4a5WqiWSUo6PjG5G9iV7isocA9b-HMxtlKpJpGxpMsjJARByYnuCzdNBWCOB1rHhyHcZ9iut31Ki6oNHy7pDCUhYjFffG1m8E98aSHVS7at_Fyr2d7ykgxxB9KLz7Xi_AOXMzJvUDQsSoJynbr2xpjoFomnIJp_-D-nCUVDSzSPcoexD8j1SCT6gMIBukm2pFAMGXOfV1Y6pJSh4yzFKffOCtC-4lCTdouyUiOLxol7DD8W1DVAHp7-LecuzjsslRxxjiwztpOBHSm_61rrwDTRWC3i2yImbmqRcaB49CVKQRnLWCa&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 4:00 PM,4.1,44,"establishment, food, grocery_or_supermarket, meal_delivery, point_of_interest, store, supermarket",ChIJJQy3ekCOcUgREtEJ5WzX7eg,Google Places,2026-04-08,Pending,,,,269
