Name,Category,Category Key,Address,Latitude,Longitude,Phone,Website,Google Maps URL,Photo URL (raw),Google Summary,Opening Hours,Google Rating,Google Review Count,Google Types (raw),Google Place ID,Source,Scrape Date,last_synced_at,Status,Chain Flag,Editor Notes,Story Draft,Distance (m)
Iceland Supermarket Easton,Food & Produce,food_produce,"190 Lawnwood Rd, Easton, Bristol BS5 0EU, UK",51.46163689999999,-2.5655344,0117 370 5280,https://www.iceland.co.uk/store-finder/store?StoreID=76&StoreName=EASTON&utm_source=Google&utm_medium=GMB&utm_campaign=Store,https://maps.google.com/?cid=7363075888674907206,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGDna6CX7nsC_8O3hU34BLCME2eS85yIKxba3uXhntZVHmaKHIlGmlgtl3mUuAkfWpKQR627W_620jA5q4f6smff7RbZrjgcaTkB9TX20D5AvEgUuQ_55Gbco1dv4dP7n1Xpdh9FroXP2iD8c6tcOfUwHxxZ43vYR6jIgEfA3nYNRE12UPg5_J2mNzQ-IDfYyurJ2UZHjKO4nN3mlZySf9ANWMl3Nd29h45lDY75_1ohaWZq_rQm-mJKp5bGtV5s-CRp55_Q1HXe_XN5rNZYfbRI5rnYk7KOOSFiDavCDcQXgGDjWB0V2EP1IpXi9Em6Go08cefDqlKYLICYwWYGAEyNEmk2Yo6PHvGNbegC0u48GZbdFEz5zFXeFNsguwsK3IoK_qUOomDF_HGBTBs0wwsuFm-pev0-M-bUg0D27qd8jRT&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Supermarket chain supplying frozen packaged foods, often discounted, plus some dry groceries.",Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 10:00 AM – 4:00 PM,4,455,"bakery, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJxQRfTEGOcUgRRiS2boLmLmY,Google Places,2026-04-09,2026-04-09 15:08:06 UTC,Pending,Starts with: 'iceland',,,238
Claremont Cakes,Food & Produce,food_produce,"28 Felix Rd, Easton, Bristol BS5 0JW, UK",51.4631986,-2.5692631,07772 789419,http://claremontcakes.co.uk/,https://maps.google.com/?cid=9879999985921469983,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHltiZ6oSuv82PS3O2OdPKC5EvwXCpPYynk10QTvGgykdl7NqjBp8mNjLeF7qn6eg03BFBclENRZDl_4Tmiv66OCkRNrHsbWivyXTNJURuVFQSbR2xQpMr8nc3AA-7Oofn4gyMfAGTFxhOcYzFDnkl1TQuePx6v8Zp8GEFtHy7-afYGX-fjbniF9BiMNPSJ6gYVG_1GyxZ5jI6Zafq7EPX3723Yoy2MIEmlUxLLzdbhjk3jer1Z7yh5NgW-89OpGlHkLTtRf8DGdynAvzp2q96vZ1SygVjBgGCjpyx2nMza6g&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,5,1,"bakery, establishment, food, point_of_interest, store",ChIJ2QRTyAeNcUgRH662BaTPHIk,Google Places,2026-04-09,2026-04-09 15:08:06 UTC,Pending,,,,138
Zam Zam Bakery,Food & Produce,food_produce,"10 Roman Rd, Easton, Bristol BS5 6DH, UK",51.4661381,-2.5643672,0117 316 4064,,https://maps.google.com/?cid=5495514425662349310,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEk-vZwX_XY1dqaaBMf_cQltqy8EYZ7h6xl_n85nGMhd0tfJIW3FzoG3DliMD4T5DQfeS_kXhkwacvokXevfzpv28UrtrHMLbKDNB6lLYd_Vdmd0i8Vjlr92wjcJxG0ZNL0spZhE4oAW6uLeuQP_JiMIRqW7l_lCI2omjSpaNgZHOG3Pcx8N6O5R9wC28HCcvIyBubAFgK_gGLk0tQp2ox8axT3QRl2zuswmHA7mUOioMqbiRPQzKvqco_k37OeD_sjLbOGb0wDsv_bvEK6Kslu77cFEfRXsK1J4xdlqPFmvg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 1:03 AM | Tuesday: 10:00 AM – 1:03 AM | Wednesday: 10:00 AM – 1:03 AM | Thursday: 10:00 AM – 1:03 AM | Friday: 10:00 AM – 1:03 AM | Saturday: 10:00 AM – 3:00 AM | Sunday: 10:00 AM – 3:00 AM,4.7,212,"bakery, establishment, food, point_of_interest, store",ChIJxyMtYEeOcUgR_p-j70D9Q0w,Google Places,2026-04-09,2026-04-09 15:08:06 UTC,Pending,,,,361
ping perfect pastry,Food & Produce,food_produce,"Unit 22 Lawrence Hill Industrial Pk, Easton, Bristol BS5 0EB, UK",51.4599724,-2.5670363,,,https://maps.google.com/?cid=17506970103755318187,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHqbCSqaECzD9_L77uFcw8W3Pmvv-NpjyKY8ysQxw-YFf5xQcvZzNcWFJrla4E-JR76pECeUszfP-rbQ2V3pyuW3TRvhbQ30tviS3J5HiCAbMrsCoAeBqN8qFuM1XRj81zB4Y5HAEhfIyh76qwb25YfefjuvxUc5axnKGMwD6w3YJmPv_oc6d5Iuv1cWQXaV0C-WMG6TsYmgC9AmmxHATNYmF1QSOnBcBPrGp06RuejhKg1KPkmCgpd--G3gVnm2jxrk1VTjY_kkhZhR63TTs11m_PdVl1anYAwI_nXwI19dg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,5,1,"bakery, establishment, food, point_of_interest, store",ChIJc-7v6h-PcUgRqyO4r41A9fI,Google Places,2026-04-09,2026-04-09 15:08:06 UTC,Pending,,,,389
Aniseed Events Catering Ltd,Food & Produce,food_produce,"11 St. Gabriels Rd, Easton, Bristol BS5 0RT, UK",51.46209229999999,-2.5690179,07941 523779,,https://maps.google.com/?cid=705054807688438520,,,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,5,2,"establishment, food, point_of_interest",ChIJ6TgmoEGOcUgR-GJzr5zbyAk,Google Places,2026-04-09,2026-04-09 15:08:07 UTC,Pending,,,,193
R Jenkins,Food & Produce,food_produce,"240 Stapleton Rd, Easton, Bristol BS5 0NT, UK",51.4654575,-2.5696326,0117 952 1014,,https://maps.google.com/?cid=3107002663544188973,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFOzhmQx3koAvNdsR-xuhd4kowQ8nXBQQEQpeP0qcf-7qyqPHQv0tTZGPlnBL4OHH-ZEBkAEwWv0ARq3dO4Z5HtVvUUKJ9QcsS2WFnBCr2e2-7cnEDsTFj2AKtBq3fyrVIgqmWZbhGjw59ZtCHxQBDzljtaqKJJci5zZYDiy8RXqqDI5luquBBxPJbecL20fzwRjC194gm2z1Hjyl3PfW14jXkfC2hIm_wqnuZRzSXnfg1Q_Ro_dJP5w98W9B8JehLSUDeIhuUYXkawu53a2deE_ReBQtU4KshCtriI-VzTj7JODVy7pb7bRlxYx-457jcwNlws84rph40P1KPadbtDG0t_D2ApzPtSfRrScwlBdOIgn-gDSM4PP8Nx_IbVvAifsITVzwojiCO8mHefHqcY38Esw7-C1XU-gNnKUqj49pc&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 1:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 1:00 PM | Sunday: Closed,4.9,64,"establishment, food, point_of_interest, store",ChIJTd2qe0COcUgRLXC-_HVKHis,Google Places,2026-04-09,2026-04-09 15:08:08 UTC,Pending,,,,274
Maxin Chicken,Food & Produce,food_produce,"168 Easton Rd, Easton, Bristol BS5 0ES, UK",51.46123,-2.567118,0117 955 1003,,https://maps.google.com/?cid=5225361096570734997,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE3jGrL7tIssCsp7cKP7cFrNExisaNxt3I12UgWl4lWOySihtth1Zyy1F0V2pcx_Xk4oogEGxiBczJ7mCSj9PdCDB06MFe49M5iK4UkEu4TVbdVqxc2StexRu_mEEFaLAPluxW1OIVh1gom3vNEFtgm0OJZCEEiAXCbLDUlVXBFQCR_ENE4BRS6g5RslVb7OlJ7L0h3TrdiHXMc_ARY6a0dCe_y-LCZ4ik6scB4Lz9OymEFuMFCZjnuWZWD27fZwkWhBkFUVfOTtDBKwLr6BOtvXp78BEy0gK6mWj5_UTpwZnqnwfKTZ62R8DyVzYcSjiHYWEBVU9Dgd-2TKND4_pmnLEmR4-WzU6cdheTZz0o6E5vQC8ZY_rkFhyI-JlmrMqvJk4eK-4kHqpMtzwMjd7ny6kCyyaTCzeVUs_aM7RQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 1:00 AM,3.4,89,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",ChIJa-MST0GOcUgRlYk-cDs2hEg,Google Places,2026-04-09,2026-04-09 15:08:09 UTC,Pending,,,,249
Al Noor Supermarket,Food & Produce,food_produce,"205 Stapleton Rd, Easton, Bristol BS5 0PA, UK",51.4636169,-2.5702899,0117 951 1827,,https://maps.google.com/?cid=3375670582892819412,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGiZltpSD0zkNPgSIgVL7rUrr0lZmmYEiFR9p6M3DzWQXHVI17A6dv_5mGYO-7NKqqoOYyYn72_a5ux6luZgxF7rUQUCvznKOJuRgzx7KSkRU8l4zAUtmtmXba4pK1Y7__kZ6keqymmBzBj1lfgMtYu5gWOTNbFUQ9VW2bqJm4507Y_ZBcZMdKL7emkiy14SpAYJF1rKuTMVBrRq1lY-F05RiC2ilb6crjJtvDoq7fU8b0CvN1U0Emde2W2a5yhXZqaMm_aotYWg-LCmg9KDNFHEi22t3sei9ZAGgFrDIXMCA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,3.9,241,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJ_45iKmqOcUgR1PMPlILK2C4,Google Places,2026-04-09,2026-04-09 15:08:11 UTC,Pending,,,,207
Premier,Food & Produce,food_produce,"68-70 St Marks Rd, Easton, Bristol BS5 6JH, UK",51.467571,-2.5643966,0117 982 2874,https://www.premier-stores.co.uk/?utm_source=gmb&utm_medium=yext,https://maps.google.com/?cid=11668844555050367692,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE5G71-WTsqROeh04l28ja1PzilHB3NlvaTJhJY6I7kEoWyJ-HemNcz5ygAB0LmZp3AgZIQE20DKw_iOuvgIvIgEI5PH04EBOZ1AdBF2cVUIYjDKc49dS6ag36KdBfE6vc_vJRRN18tfBFeeD8AJEzX4xa6VMHxdabCoH9WE-7hMgGIMEzL09iOLDbKMsi4eLLqdFuHF2zKsNl-iR8cbRVIhqSy0nebhq-OHRhQIj1Rt_AtEWVc_SFWMhoqTFRrj3lotIZ70NcSCpelr-8PLmYjooY3l-QU8Njxq4R7UYmc7g&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Convenience store chain offering baked, fresh & packaged goods, plus alcohol sales.",,3.5,17,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJHxUv6jiOcUgRzDoHc0wQ8KE,Google Places,2026-04-09,2026-04-09 15:08:17 UTC,Pending,,,,500
B R B Supermarket Easton Ltd,Food & Produce,food_produce,"234 Stapleton Rd, Easton, Bristol BS5 0NT, UK",51.4653368,-2.5697705,0117 952 1965,http://www.nisalocally.com/,https://maps.google.com/?cid=16784308248978772242,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEHMexUsKcRS8q0mHEOt_LUF1FUmERk36Z5Zw1gVrvIA9PU_FIG2hS_99vGJCRs9GvWLuhx6AKOY63joPuYE71k8CyOtqda0FC83oYinKW5Jo6ADFMivtm0ckS0QNwmeG5J2XnhdOOBvMmHkd1w0qf8Pt3WE7d9sEmiV5HjUidaZMUoNaUGYFsmMCutOqsnMX8Z_JcFUTNNw5FDYiCPG9x7vTx8sSyAJWtbSrorTvOdJMfwEmcpy3SujbttRIdW6y4eW71PXNFhui1V-KRVdbaiNBVAHFZ3X6mbn-CHfGe99fm0tbTkTjRUJzncHPmsjPg9WlFBqXPM_RmiPTofQoVKzimKTn2L6JlxlvPs9F_0_pREFIVgKAZX9uaSRyJvNM465bEcvgjy8-Cm91aLOnx_lFbqE5d8COKbwJ5JJbfc8cmYQIIEVvtqUYPm5k6L&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 8:00 PM | Tuesday: 8:00 AM – 8:00 PM | Wednesday: 8:00 AM – 8:00 PM | Thursday: 8:00 AM – 8:00 PM | Friday: 8:00 AM – 8:00 PM | Saturday: 8:00 AM – 8:00 PM | Sunday: 8:00 AM – 4:00 PM,4.1,44,"establishment, food, grocery_or_supermarket, meal_delivery, point_of_interest, store, supermarket",ChIJJQy3ekCOcUgREtEJ5WzX7eg,Google Places,2026-04-09,2026-04-09 15:08:17 UTC,Pending,,,,269
