osm_id,name,category,category_key,category_slug,address,city_slug,area_slug,business_slug,latitude,longitude,phone,website,email,opening_hours,google_maps_url,photo_url,image_url,google_summary,google_rating,google_review_count,google_place_id,tags,chain_flag,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,status,ranking_tier,source,scrape_date,last_synced_at
node/827983667,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"143-147 Four Acres, BS13 8RA, GB",,,morrisons-daily,51.4062987,-2.6266084,,https://my.morrisons.com/storefinder/61201/morrisons-daily-bristol-withywood-fouracres,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/5084276701,Estate Stores,Food & Produce,food_produce,food-and-produce,,,,estate-stores,51.4156101,-2.6246489,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/10556681607,Yew Tree Farm Bristol,Food & Produce,food_produce,food-and-produce,"Bridgwater Road, Bristol, BS13 8AJ",bristol,,yew-tree-farm-bristol,51.4218834,-2.6342975,,,,,,,,,,,,"{""farm""}",independent,https://www.facebook.com/yewtreefarmandshop/,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/13119524598,Tesco Express,Food & Produce,food_produce,food-and-produce,"1-2 Shirehampton Road, Bristol, BS9 2DP",bristol,sea-mills,tesco-express,51.4862885,-2.641832,,https://www.tesco.com/store-locator/bristol/trymwood-parade,,Mo-Su 07:00-23:00,,,,,,,,"{""supermarket""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11466017653,Kwik Save,Food & Produce,food_produce,food-and-produce,"Queen's Road, Bristol",bristol,,kwik-save,51.4088478,-2.6213983,,,,,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11478973267,Londis,Food & Produce,food_produce,food-and-produce,"92 Queen's Road, Bristol",bristol,,londis,51.4090941,-2.6211467,,,,Mo-Su 05:30-23:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11147892761,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"532-536 Bishport Avenue, BS13 9LJ",,,morrisons-daily,51.4056311,-2.6093784,+44 117 964 1620,https://my.morrisons.com/storefinder/61159/morrisons-daily-bristol-hartcliffe-bishport,,Mo-Sa 06:00-22:00; Su 07:00-22:00,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11524269682,Morrisons Daily,Food & Produce,food_produce,food-and-produce,"141 Church Road, Bristol, BS13 8JZ",bristol,,morrisons-daily,51.4130502,-2.6201936,,,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11501273339,Belland's Drive Co-op,Food & Produce,food_produce,food-and-produce,,,,bellands-drive-co-op,51.4071167,-2.5770311,,https://www.coop.co.uk/store-finder/BS14-0EW/30-32-belland-drive,,Mo-Su 06:00-22:00,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11435897766,Five Acre Farm Shop,Food & Produce,food_produce,food-and-produce,,,,five-acre-farm-shop,51.442383,-2.6137724,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/4749634967,Tobacco Factory Market,Food & Produce,food_produce,food-and-produce,,,,tobacco-factory-market,51.4426584,-2.6134949,,,,Su 10:00-14:30,,,,,,,,"{""marketplace""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/12923053147,Heron Foods,Food & Produce,food_produce,food-and-produce,"102-106 East Street, Bristol, BS3 4EY",bristol,bedminster,heron-foods,51.4416017,-2.5982583,,https://heronfoods.com/store/bedminster/,,Mo-Sa 08:00-18:00; Su 10:00-16:00,,,,,,,,"{""supermarket""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/13357250775,Southville Deli,Food & Produce,food_produce,food-and-produce,,,,southville-deli,51.4424466,-2.5959408,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/12512022293,Newquay road convenience store,Food & Produce,food_produce,food-and-produce,,,,newquay-road-convenience-store,51.4267588,-2.5791471,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/13145150507,The Park Deli,Food & Produce,food_produce,food-and-produce,,,,the-park-deli,51.4375272,-2.5846446,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/2384478514,Redcliffe Premier,Food & Produce,food_produce,food-and-produce,"Redcliff Hill, Bristol, BS1 6TB",bristol,,redcliffe-premier,51.4468762,-2.5911857,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/11159406779,Londis,Food & Produce,food_produce,food-and-produce,"194-196 Wells Road, Bristol, BS4 2AX",bristol,knowle,londis,51.4389254,-2.5723368,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/6780649303,Chi foof,Food & Produce,food_produce,food-and-produce,,,,chi-foof,51.4482776,-2.5733843,,,,Mo-Fr 06:00-12:00,,,,,,,,"{""spices""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/7817700261,Spar,Food & Produce,food_produce,food-and-produce,"12 Gilda Parade, Bristol, BS14 9HY",bristol,whitchurch,spar,51.4138443,-2.560038,,https://www.spar.co.uk/store-locator/awl26862-spar-gilda-parade,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/4927525625,KPR convenience store,Food & Produce,food_produce,food-and-produce,"20 Kensington Park Road, Bristol, BS4 3HP",bristol,brislington,kpr-convenience-store,51.4360776,-2.5573783,,,,,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/3683487308,Bellevue Convenience Store,Food & Produce,food_produce,food-and-produce,"26 Bellevue Park, Bristol, BS4 4JR",bristol,brislington,bellevue-convenience-store,51.4359564,-2.5483582,,https://www.premier-stores.co.uk/our-stores/bellevue-stores,,06:00-22:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/12959516255,Restore,Food & Produce,food_produce,food-and-produce,,,,restore,51.449892,-2.6063525,,,,,,,,,,,,"{""deli""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/12961242061,Tesco Express,Food & Produce,food_produce,food-and-produce,"Canons Way, Bristol, BS1 5JZ",bristol,city-centre,tesco-express,51.4499169,-2.6028876,,https://www.tesco.com/store-locator/bristol/7-millennium-parade,,,,,,,,,,"{""convenience""}",chain,,,,,,,,,,,pending,low,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/5254795218,The Harbourside Market,Food & Produce,food_produce,food-and-produce,"Bristol, BS1 4DA",bristol,,the-harbourside-market,51.4526246,-2.5975738,,,,We-Th 12:00-14:30; Sa-Su 11:00-16:00,,,,,,,,"{""marketplace""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/12435832628,Langyu,Food & Produce,food_produce,food-and-produce,"Bristol, BS1 1NA",bristol,,langyu,51.4534729,-2.5957437,,,,,,,,,,,,"{""convenience"",""chinese"",""japanese"",""korean""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/2988644443,M&S Food,Food & Produce,food_produce,food-and-produce,,,,m-s-food,51.4585046,-2.5963784,,https://www.marksandspencer.com/stores/bristol-royal-nhs-hospital-1259,,Mo-Fr 07:00-21:00; Sa 07:00-20:00; Su 09:00-17:00,,,,,,,,"{""convenience""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
node/1892330960,Whiteladies Road Farmers' Market,Food & Produce,food_produce,food-and-produce,,,,whiteladies-road-farmers-market,51.4680955,-2.6133877,,,,,,,,,,,,"{""marketplace""}",independent,,,,,,,,,,,pending,standard,OpenStreetMap,2026-04-19,2026-04-19 06:58:54
